onset	duration	subject	block	trial_type	rt	accuracy	run
30.949	0	18	MC	cue	NaN	NaN	2
41.449	0	18	MC	C	0.699	1	2
45.199	0	18	MC	C	0.58	1	2
48.232	0	18	MC	C	0.927	1	2
50.399	0	18	MC	C	0.635	1	2
53.482	0	18	MC	C	0.735	1	2
57.865	0	18	MC	blank	NaN	NaN	2
60.982	0	18	MC	C	0.638	1	2
62.865	0	18	MC	C	0.826	1	2
66.748	0	18	MC	I	0.703	1	2
68.698	0	18	MC	C	0.963	1	2
70.898	0	18	MC	C	0.635	1	2
73.982	0	18	MC	C	0.536	1	2
75.765	0	18	MC	C	0.631	1	2
78.848	0	18	MC	C	0.889	1	2
82.181	0	18	MC	C	0.641	1	2
85.265	0	18	MC	C	0.614	1	2
90.731	0	18	MC	I	0.947	1	2
94.731	0	18	MC	C	0.588	1	2
98.964	0	18	MC	C	0.653	1	2
102.664	0	18	MC	I	0.704	1	2
106.414	0	18	MC	C	0.674	1	2
109.531	0	18	MC	blank	NaN	NaN	2
112.047	0	18	MC	C	0.7	1	2
116.997	0	18	MC	C	0.717	1	2
121.347	0	18	MC	C	0.637	1	2
125.03	0	18	MC	C	0.587	1	2
129.263	0	18	MC	C	0.696	1	2
132.997	0	18	MC	I	0.925	1	2
137.563	0	18	MC	C	0.789	1	2
141.996	0	18	MC	I	0.773	1	2
145.813	0	18	MC	C	0.818	1	2
149.079	0	18	MC	C	0.603	1	2
152.729	0	18	MC	I	0.973	1	2
156.163	0	18	MC	C	0.802	1	2
162.412	0	18	MC	C	0.559	1	2
164.829	0	18	MC	C	0.804	1	2
168.679	0	18	MC	C	0.692	1	2
172.412	0	18	MC	C	1.129	1	2
176.579	0	18	MC	C	0.604	1	2
179.628	0	18	MC	I	0.812	1	2
182.878	0	18	MC	blank	NaN	NaN	2
188.395	0	18	MC	C	0.848	1	2
191.695	0	18	MC	C	1.147	1	2
194.695	0	18	MC	blank	NaN	NaN	2
197.211	0	18	MC	C	0.748	1	2
202.211	0	18	MC	I	0.856	1	2
205.511	0	18	MC	C	0.638	1	2
212.194	0	18	MC	I	0.639	1	2
214.677	0	18	MC	blank	NaN	NaN	2
218.994	0	18	MC	C	0.572	1	2
221.411	0	18	MC	C	0.668	1	2
223.927	0	18	MC	C	0.588	1	2
227.56	0	18	MC	I	0.821	0	2
233.227	0	18	MC	C	0.771	1	2
235.844	0	18	MC	blank	NaN	NaN	2
237.76	0	18	MC	C	0.698	1	2
240.91	0	18	MC	I	0.859	1	2
249.01	0	18	MC	blank	NaN	NaN	2
253.926	0	18	MC	C	0.837	1	2
256.61	0	18	MC	I	0.785	1	2
264.626	0	18	MC	blank	NaN	NaN	2
268.343	0	18	MC	C	0.586	1	2
272.576	0	18	MC	C	0.525	1	2
276.742	0	18	MC	C	0.463	1	2
279.659	0	18	MC	C	0.747	1	2
281.659	0	18	MC	C	0.626	1	2
285.925	0	18	MC	C	0.649	1	2
288.425	0	18	MC	C	0.692	1	2
346.124	0	18	MC	cue	NaN	NaN	2
356.623	0	18	MC	C	0.616	1	2
358.49	0	18	MC	C	0.726	1	2
