onset	duration	subject	block	trial_type	rt	accuracy	run
44.298	0	15	MI	cue	NaN	NaN	2
54.798	0	15	MI	I	0.695	1	2
61.531	0	15	MI	I	0.642	1	2
65.231	0	15	MI	I	0.587	1	2
68.864	0	15	MI	I	0.831	1	2
75.73	0	15	MI	C	0.605	1	2
78.18	0	15	MI	C	0.567	1	2
81.797	0	15	MI	I	0.66	1	2
83.714	0	15	MI	I	0.813	1	2
90.563	0	15	MI	I	0.643	1	2
93.647	0	15	MI	I	0.649	1	2
97.33	0	15	MI	I	0.56	1	2
99.13	0	15	MI	C	0.711	1	2
101.08	0	15	MI	blank	NaN	NaN	2
104.196	0	15	MI	I	0.512	1	2
105.963	0	15	MI	I	0.64	1	2
108.446	0	15	MI	I	0.519	1	2
113.813	0	15	MI	blank	NaN	NaN	2
117.529	0	15	MI	I	1.166	1	2
119.946	0	15	MI	I	0.648	1	2
123.629	0	15	MI	I	0.651	1	2
125.512	0	15	MI	C	0.78	1	2
128.729	0	15	MI	I	0.623	1	2
135.395	0	15	MI	C	0.61	1	2
140.245	0	15	MI	blank	NaN	NaN	2
145.162	0	15	MI	I	0.595	1	2
148.795	0	15	MI	I	0.566	1	2
155.395	0	15	MI	I	0.723	1	2
157.961	0	15	MI	I	0.736	1	2
165.344	0	15	MI	I	0.624	1	2
167.811	0	15	MI	I	0.605	1	2
169.661	0	15	MI	C	0.531	1	2
172.644	0	15	MI	I	0.608	1	2
174.494	0	15	MI	C	0.64	1	2
180.577	0	15	MI	C	0.647	1	2
184.277	0	15	MI	blank	NaN	NaN	2
186.194	0	15	MI	I	0.768	1	2
188.81	0	15	MI	I	0.578	1	2
192.427	0	15	MI	C	0.488	1	2
195.96	0	15	MI	I	0.626	1	2
199.643	0	15	MI	I	0.652	1	2
206.343	0	15	MI	I	0.881	1	2
214.459	0	15	MI	I	0.583	1	2
216.893	0	15	MI	I	0.499	1	2
218.626	0	15	MI	I	0.812	1	2
222.492	0	15	MI	C	0.484	1	2
224.826	0	15	MI	blank	NaN	NaN	2
227.342	0	15	MI	I	0.686	1	2
233.476	0	15	MI	I	0.909	1	2
236.842	0	15	MI	blank	NaN	NaN	2
239.959	0	15	MI	I	0.594	1	2
242.392	0	15	MI	C	0.588	1	2
244.225	0	15	MI	I	0.909	1	2
249.992	0	15	MI	I	0.713	1	2
255.558	0	15	MI	blank	NaN	NaN	2
258.075	0	15	MI	I	0.756	1	2
261.275	0	15	MI	I	1.058	1	2
265.975	0	15	MI	I	0.717	1	2
268.541	0	15	MI	C	0.786	1	2
274.758	0	15	MI	I	0.65	1	2
279.041	0	15	MI	I	0.741	1	2
282.841	0	15	MI	I	0.916	1	2
286.807	0	15	MI	I	0.642	1	2
291.69	0	15	MI	I	0.568	1	2
294.09	0	15	MI	I	0.55	1	2
296.49	0	15	MI	I	0.595	1	2
298.94	0	15	MI	I	0.822	1	2
305.223	0	15	MI	blank	NaN	NaN	2
307.74	0	15	MI	I	0.671	1	2
367.271	0	15	MC	cue	NaN	NaN	2
377.271	0	15	MC	C	0.6	1	2
380.304	0	15	MC	C	0.911	1	2
384.871	0	15	MC	C	0.567	1	2
386.671	0	15	MC	C	0.536	1	2
389.054	0	15	MC	C	0.534	1	2
390.821	0	15	MC	C	0.753	1	2
394.621	0	15	MC	C	0.656	1	2
397.12	0	15	MC	I	0.522	1	2
401.287	0	15	MC	blank	NaN	NaN	2
405.003	0	15	MC	C	0.599	1	2
408.653	0	15	MC	C	0.694	1	2
410.587	0	15	MC	I	0.637	1	2
413.07	0	15	MC	C	0.671	1	2
416.786	0	15	MC	C	0.657	1	2
421.686	0	15	MC	I	1.141	1	2
424.67	0	15	MC	blank	NaN	NaN	2
431.986	0	15	MC	C	0.662	1	2
438.702	0	15	MC	C	0.578	1	2
442.319	0	15	MC	C	0.921	1	2
445.085	0	15	MC	C	0.865	1	2
447.185	0	15	MC	blank	NaN	NaN	2
453.902	0	15	MC	I	0.669	1	2
459.418	0	15	MC	C	0.728	1	2
462.002	0	15	MC	C	0.625	1	2
467.468	0	15	MC	C	0.758	1	2
471.285	0	15	MC	C	0.534	1	2
474.868	0	15	MC	C	0.643	1	2
477.368	0	15	MC	C	0.48	1	2
480.884	0	15	MC	blank	NaN	NaN	2
486.401	0	15	MC	I	0.737	1	2
490.184	0	15	MC	C	0.693	1	2
493.334	0	15	MC	C	0.583	1	2
498.167	0	15	MC	C	0.593	1	2
500.001	0	15	MC	C	0.737	1	2
504.984	0	15	MC	C	0.5	1	2
506.734	0	15	MC	I	0.663	1	2
508.634	0	15	MC	C	0.542	1	2
512.833	0	15	MC	I	0.9	1	2
516.783	0	15	MC	blank	NaN	NaN	2
519.9	0	15	MC	C	0.754	1	2
526.1	0	15	MC	C	0.497	1	2
529.633	0	15	MC	C	0.665	1	2
533.333	0	15	MC	C	0.513	1	2
535.699	0	15	MC	I	0.691	1	2
537.633	0	15	MC	C	0.68	1	2
539.549	0	15	MC	C	0.654	1	2
543.249	0	15	MC	C	2.036	1	2
548.932	0	15	MC	C	0.539	1	2
552.516	0	15	MC	C	0.616	1	2
559.782	0	15	MC	C	0.619	1	2
561.649	0	15	MC	I	0.812	1	2
566.698	0	15	MC	I	0.557	1	2
570.315	0	15	MC	C	0.675	1	2
572.832	0	15	MC	C	0.49	1	2
576.381	0	15	MC	I	0.701	1	2
579.515	0	15	MC	C	0.537	1	2
581.898	0	15	MC	blank	NaN	NaN	2
586.214	0	15	MC	I	0.794	1	2
590.064	0	15	MC	blank	NaN	NaN	2
