onset	duration	subject	block	trial_type	rt	accuracy	run
32.899	0	2	MI	cue	NaN	NaN	2
43.398	0	2	MI	I	0.762	1	2
45.398	0	2	MI	I	1.277	1	2
50.331	0	2	MI	I	0.869	1	2
53.048	0	2	MI	I	1.451	1	2
58.148	0	2	MI	C	0.755	1	2
64.364	0	2	MI	I	0.657	1	2
67.464	0	2	MI	I	0.781	1	2
70.08	0	2	MI	I	0.741	1	2
74.464	0	2	MI	I	0.667	1	2
77.564	0	2	MI	C	0.54	1	2
81.147	0	2	MI	I	0.754	1	2
88.546	0	2	MI	I	0.608	1	2
93.996	0	2	MI	I	0.744	1	2
101.979	0	2	MI	I	0.743	1	2
106.363	0	2	MI	I	0.746	1	2
109.562	0	2	MI	I	0.741	1	2
113.346	0	2	MI	I	0.71	1	2
118.312	0	2	MI	I	0.807	1	2
122.778	0	2	MI	C	0.795	1	2
126.028	0	2	MI	I	0.701	1	2
129.178	0	2	MI	I	1.076	1	2
133.295	0	2	MI	I	0.694	1	2
137.045	0	2	MI	I	0.721	1	2
140.811	0	2	MI	C	0.707	1	2
142.761	0	2	MI	blank	NaN	NaN	2
146.478	0	2	MI	I	0.895	1	2
149.828	0	2	MI	I	0.663	1	2
153.527	0	2	MI	I	0.711	1	2
155.494	0	2	MI	I	0.643	1	2
158.577	0	2	MI	I	0.736	1	2
160.56	0	2	MI	I	0.791	1	2
164.994	0	2	MI	I	0.746	1	2
168.793	0	2	MI	I	0.687	1	2
171.327	0	2	MI	C	0.574	1	2
174.943	0	2	MI	blank	NaN	NaN	2
180.46	0	2	MI	C	0.903	1	2
182.61	0	2	MI	blank	NaN	NaN	2
186.326	0	2	MI	I	1.409	1	2
191.376	0	2	MI	I	0.736	1	2
195.142	0	2	MI	I	0.699	1	2
196.476	0	2	MI	I	0.723	1	2
199.659	0	2	MI	I	0.753	1	2
202.242	0	2	MI	blank	NaN	NaN	2
205.959	0	2	MI	I	0.679	1	2
209.692	0	2	MI	I	0.976	1	2
211.908	0	2	MI	I	0.666	1	2
215.625	0	2	MI	blank	NaN	NaN	2
220.541	0	2	MI	I	1.182	1	2
224.775	0	2	MI	C	0.672	1	2
229.691	0	2	MI	C	0.849	1	2
234.191	0	2	MI	blank	NaN	NaN	2
237.908	0	2	MI	I	1.754	1	2
244.507	0	2	MI	I	0.933	1	2
247.29	0	2	MI	C	0.626	1	2
252.774	0	2	MI	I	0.528	0	2
256.957	0	2	MI	C	0.712	1	2
259.523	0	2	MI	I	0.701	1	2
263.273	0	2	MI	blank	NaN	NaN	2
265.79	0	2	MI	I	0.975	1	2
268.006	0	2	MI	blank	NaN	NaN	2
271.723	0	2	MI	C	1	1	2
275.773	0	2	MI	I	0.968	1	2
279.189	0	2	MI	I	1.017	1	2
283.239	0	2	MI	I	1.283	1	2
285.756	0	2	MI	I	0.845	1	2
290.839	0	2	MI	C	1.332	1	2
293.405	0	2	MI	I	0.876	1	2
295.522	0	2	MI	I	0.711	1	2
357.07	0	2	MC	cue	NaN	NaN	2
367.569	0	2	MC	C	0.696	1	2
370.119	0	2	MC	C	0.779	1	2
372.736	0	2	MC	C	0.574	1	2
375.152	0	2	MC	C	0.571	1	2
378.152	0	2	MC	C	0.882	1	2
382.685	0	2	MC	C	0.601	1	2
385.735	0	2	MC	I	0.626	1	2
389.402	0	2	MC	C	0.651	1	2
391.902	0	2	MC	C	0.559	1	2
394.901	0	2	MC	blank	NaN	NaN	2
398.618	0	2	MC	C	0.915	1	2
401.385	0	2	MC	C	0.716	1	2
409.334	0	2	MC	C	0.839	1	2
416.217	0	2	MC	C	0.657	1	2
419.934	0	2	MC	C	0.606	1	2
423.6	0	2	MC	I	1.055	1	2
427.7	0	2	MC	I	0.704	1	2
430.25	0	2	MC	C	0.759	1	2
432.267	0	2	MC	C	0.536	1	2
435.25	0	2	MC	blank	NaN	NaN	2
437.767	0	2	MC	C	0.55	1	2
442.566	0	2	MC	C	0.632	1	2
