onset	duration	subject	block	trial_type	rt	accuracy	run
105.913	0	20	MI	cue	NaN	NaN	1
116.413	0	20	MI	I	0.868	1	1
118.513	0	20	MI	I	0.544	1	1
120.296	0	20	MI	I	0.668	1	1
123.996	0	20	MI	I	0.618	1	1
126.463	0	20	MI	I	0.652	1	1
128.363	0	20	MI	I	0.564	1	1
130.779	0	20	MI	I	0.615	1	1
133.246	0	20	MI	I	0.544	1	1
136.846	0	20	MI	I	0.688	1	1
139.379	0	20	MI	C	0.632	1	1
143.046	0	20	MI	I	0.598	0	1
149.096	0	20	MI	I	0.639	1	1
151.579	0	20	MI	I	0.664	1	1
154.679	0	20	MI	C	0.753	1	1
158.479	0	20	MI	I	0.629	1	1
162.162	0	20	MI	I	0.633	1	1
165.845	0	20	MI	I	0.56	1	1
168.245	0	20	MI	I	0.446	1	1
171.145	0	20	MI	I	0.705	1	1
174.311	0	20	MI	I	0.551	1	1
177.295	0	20	MI	C	0.686	1	1
181.028	0	20	MI	I	0.589	1	1
184.678	0	20	MI	I	0.568	1	1
188.294	0	20	MI	C	0.66	1	1
191.994	0	20	MI	C	0.49	1	1
197.927	0	20	MI	blank	NaN	NaN	1
201.644	0	20	MI	I	0.609	1	1
204.11	0	20	MI	blank	NaN	NaN	1
206.627	0	20	MI	C	0.853	1	1
212.327	0	20	MI	I	0.694	1	1
216.077	0	20	MI	I	0.603	1	1
219.727	0	20	MI	blank	NaN	NaN	1
222.243	0	20	MI	C	0.487	1	1
223.976	0	20	MI	blank	NaN	NaN	1
230.093	0	20	MI	I	0.426	1	1
233.56	0	20	MI	C	0.606	1	1
238.409	0	20	MI	I	0.532	1	1
244.976	0	20	MI	I	0.556	1	1
249.176	0	20	MI	I	0.638	1	1
254.059	0	20	MI	I	0.58	1	1
257.692	0	20	MI	blank	NaN	NaN	1
261.409	0	20	MI	I	0.969	1	1
266.008	0	20	MI	I	0.66	1	1
269.108	0	20	MI	I	0.659	1	1
274.008	0	20	MI	I	0.612	1	1
277.675	0	20	MI	I	0.885	1	1
283.408	0	20	MI	C	0.685	1	1
286.525	0	20	MI	blank	NaN	NaN	1
292.041	0	20	MI	I	1.052	1	1
296.141	0	20	MI	I	0.675	1	1
299.257	0	20	MI	I	0.606	1	1
306.507	0	20	MI	I	0.61	1	1
310.157	0	20	MI	C	0.614	1	1
312.624	0	20	MI	C	0.696	1	1
315.757	0	20	MI	I	0.72	1	1
318.323	0	20	MI	I	0.653	0	1
322.623	0	20	MI	I	0.853	1	1
327.123	0	20	MI	I	1.225	1	1
330.19	0	20	MI	C	0.67	1	1
337.506	0	20	MI	blank	NaN	NaN	1
341.223	0	20	MI	I	0.729	1	1
343.789	0	20	MI	I	0.579	1	1
346.223	0	20	MI	I	0.504	1	1
348.556	0	20	MI	I	0.515	1	1
356.322	0	20	MI	I	0.728	1	1
359.489	0	20	MI	blank	NaN	NaN	1
367.405	0	20	MI	I	0.891	1	1
371.338	0	20	MI	I	0.555	1	1
432.753	0	20	MI	cue	NaN	NaN	1
443.253	0	20	MI	I	0.71	1	1
447.019	0	20	MI	I	0.571	1	1
