onset	duration	subject	block	trial_type	rt	accuracy	run
27.783	0	14	MI	cue	NaN	NaN	2
38.282	0	14	MI	I	0.912	1	2
42.832	0	14	MI	I	0.485	1	2
44.565	0	14	MI	I	0.679	1	2
46.482	0	14	MI	I	0.615	1	2
50.149	0	14	MI	C	0.518	1	2
56.115	0	14	MI	I	0.845	1	2
60.015	0	14	MI	C	0.663	1	2
63.731	0	14	MI	I	0.626	1	2
66.198	0	14	MI	C	0.545	1	2
72.798	0	14	MI	I	0.986	1	2
76.831	0	14	MI	C	0.66	1	2
81.748	0	14	MI	blank	NaN	NaN	2
85.464	0	14	MI	C	0.731	1	2
87.431	0	14	MI	I	0.716	1	2
91.181	0	14	MI	blank	NaN	NaN	2
93.697	0	14	MI	I	0.595	1	2
95.547	0	14	MI	I	0.717	1	2
99.914	0	14	MI	I	0.639	1	2
104.197	0	14	MI	I	0.632	1	2
106.08	0	14	MI	I	0.616	1	2
107.947	0	14	MI	I	0.662	1	2
111.647	0	14	MI	I	0.551	1	2
115.247	0	14	MI	I	0.717	1	2
117.213	0	14	MI	I	0.832	1	2
119.896	0	14	MI	I	0.545	1	2
122.896	0	14	MI	I	0.743	1	2
126.696	0	14	MI	I	0.793	1	2
133.529	0	14	MI	C	0.98	1	2
137.546	0	14	MI	blank	NaN	NaN	2
143.062	0	14	MI	I	0.683	1	2
147.379	0	14	MI	I	0.634	1	2
149.862	0	14	MI	I	0.684	1	2
153.595	0	14	MI	I	0.781	1	2
157.429	0	14	MI	I	0.573	1	2
161.045	0	14	MI	I	4.519	1	2
171.011	0	14	MI	blank	NaN	NaN	2
174.728	0	14	MI	I	0.538	1	2
178.311	0	14	MI	I	0.767	1	2
181.511	0	14	MI	C	0.872	1	2
188.428	0	14	MI	I	0.525	1	2
190.811	0	14	MI	I	0.863	1	2
193.527	0	14	MI	I	0.63	1	2
196.594	0	14	MI	C	0.493	1	2
198.927	0	14	MI	blank	NaN	NaN	2
202.044	0	14	MI	I	0.544	1	2
204.444	0	14	MI	I	0.495	1	2
207.977	0	14	MI	I	0.652	1	2
212.277	0	14	MI	I	0.495	1	2
218.827	0	14	MI	C	0.433	1	2
221.71	0	14	MI	I	0.509	1	2
225.86	0	14	MI	I	0.46	1	2
228.776	0	14	MI	C	0.758	1	2
233.776	0	14	MI	I	0.637	1	2
236.259	0	14	MI	I	0.686	1	2
242.393	0	14	MI	I	0.471	1	2
247.709	0	14	MI	C	0.504	1	2
250.659	0	14	MI	I	0.478	1	2
252.992	0	14	MI	I	0.624	1	2
256.675	0	14	MI	blank	NaN	NaN	2
260.392	0	14	MI	I	0.571	1	2
