onset	duration	subject	block	trial_type	rt	accuracy	run
28.399	0	20	MC	cue	NaN	NaN	2
38.399	0	20	MC	C	0.781	1	2
41.032	0	20	MC	C	0.522	1	2
42.799	0	20	MC	C	0.601	0	2
45.249	0	20	MC	C	0.475	1	2
49.965	0	20	MC	C	0.606	1	2
53.015	0	20	MC	blank	NaN	NaN	2
56.132	0	20	MC	C	0.471	1	2
59.048	0	20	MC	I	0.746	1	2
63.448	0	20	MC	blank	NaN	NaN	2
65.365	0	20	MC	C	0.691	1	2
67.298	0	20	MC	C	0.767	1	2
71.715	0	20	MC	I	0.695	1	2
75.465	0	20	MC	I	0.675	1	2
80.998	0	20	MC	blank	NaN	NaN	2
84.114	0	20	MC	C	0.523	1	2
87.081	0	20	MC	C	0.569	1	2
90.081	0	20	MC	C	0.57	1	2
94.897	0	20	MC	blank	NaN	NaN	2
97.414	0	20	MC	C	0.689	1	2
100.564	0	20	MC	I	0.832	1	2
104.447	0	20	MC	C	0.525	1	2
110.413	0	20	MC	C	0.551	1	2
113.413	0	20	MC	C	0.763	1	2
119.03	0	20	MC	C	0.541	1	2
121.43	0	20	MC	blank	NaN	NaN	2
127.546	0	20	MC	C	0.666	1	2
130.663	0	20	MC	C	0.716	1	2
134.429	0	20	MC	C	0.765	1	2
137.029	0	20	MC	C	0.649	1	2
140.129	0	20	MC	blank	NaN	NaN	2
142.046	0	20	MC	C	0.637	1	2
144.529	0	20	MC	I	0.681	1	2
146.446	0	20	MC	C	0.669	1	2
150.162	0	20	MC	C	0.932	1	2
152.945	0	20	MC	C	0.647	1	2
156.629	0	20	MC	C	0.554	1	2
159.629	0	20	MC	C	0.579	1	2
164.462	0	20	MC	C	0.789	1	2
167.695	0	20	MC	C	0.652	1	2
172.595	0	20	MC	I	0.636	1	2
175.678	0	20	MC	C	0.716	1	2
181.245	0	20	MC	C	0.572	1	2
184.261	0	20	MC	I	0.748	1	2
188.044	0	20	MC	C	0.665	1	2
190.561	0	20	MC	I	0.701	1	2
193.111	0	20	MC	blank	NaN	NaN	2
199.227	0	20	MC	C	0.631	1	2
204.694	0	20	MC	C	0.546	1	2
208.877	0	20	MC	C	0.782	1	2
213.294	0	20	MC	I	0.719	1	2
215.86	0	20	MC	I	0.869	1	2
219.177	0	20	MC	C	0.551	1	2
222.777	0	20	MC	C	0.699	1	2
224.71	0	20	MC	I	0.746	1	2
227.893	0	20	MC	C	0.674	1	2
231.626	0	20	MC	C	0.58	1	2
