onset	duration	subject	block	trial_type	rt	accuracy	run
31.432	0	19	MI	cue	NaN	NaN	2
41.932	0	19	MI	I	1.114	1	2
46.099	0	19	MI	I	0.758	1	2
48.099	0	19	MI	I	0.718	1	2
51.865	0	19	MI	I	0.787	1	2
56.898	0	19	MI	C	0.676	1	2
60.015	0	19	MI	blank	NaN	NaN	2
63.131	0	19	MI	I	0.799	1	2
65.182	0	19	MI	C	0.533	1	2
68.765	0	19	MI	blank	NaN	NaN	2
70.681	0	19	MI	C	0.606	1	2
74.331	0	19	MI	blank	NaN	NaN	2
78.648	0	19	MI	I	0.88	1	2
80.764	0	19	MI	I	0.679	1	2
84.481	0	19	MI	I	0.569	1	2
86.897	0	19	MI	blank	NaN	NaN	2
90.614	0	19	MI	I	0.69	1	2
94.947	0	19	MI	I	0.69	1	2
98.681	0	19	MI	I	0.566	1	2
102.28	0	19	MI	I	0.575	1	2
104.697	0	19	MI	I	0.746	1	2
110.297	0	19	MI	I	0.664	1	2
113.997	0	19	MI	I	0.57	1	2
118.83	0	19	MI	I	0.592	1	2
122.48	0	19	MI	I	0.654	1	2
126.18	0	19	MI	C	0.622	1	2
131.046	0	19	MI	blank	NaN	NaN	2
133.563	0	19	MI	I	0.693	1	2
137.296	0	19	MI	C	0.797	1	2
141.129	0	19	MI	I	0.743	1	2
147.329	0	19	MI	blank	NaN	NaN	2
155.245	0	19	MI	I	0.806	1	2
160.895	0	19	MI	I	0.635	1	2
165.779	0	19	MI	I	0.569	1	2
168.195	0	19	MI	I	0.752	1	2
173.795	0	19	MI	I	0.65	1	2
177.495	0	19	MI	I	0.767	1	2
184.311	0	19	MI	I	0.973	1	2
189.545	0	19	MI	I	0.618	1	2
192.611	0	19	MI	I	0.863	1	2
195.911	0	19	MI	I	1.017	1	2
199.978	0	19	MI	C	0.604	1	2
202.428	0	19	MI	I	0.889	1	2
206.361	0	19	MI	I	0.988	1	2
214.594	0	19	MI	C	1.075	1	2
218.71	0	19	MI	I	0.692	1	2
221.86	0	19	MI	I	0.684	1	2
223.794	0	19	MI	I	0.934	1	2
228.377	0	19	MI	I	0.936	1	2
231.76	0	19	MI	I	0.818	1	2
235.027	0	19	MI	C	0.566	1	2
