onset	duration	subject	block	trial_type	rt	accuracy	run
35.732	0	16	MC	cue	NaN	NaN	2
46.232	0	16	MC	C	1.27	1	2
49.365	0	16	MC	C	0.643	1	2
53.048	0	16	MC	C	0.618	1	2
56.715	0	16	MC	C	0.5	1	2
59.665	0	16	MC	C	0.659	1	2
61.565	0	16	MC	C	0.681	1	2
64.698	0	16	MC	C	0.58	1	2
66.531	0	16	MC	C	0.706	1	2
72.081	0	16	MC	blank	NaN	NaN	2
75.798	0	16	MC	C	0.968	1	2
83.414	0	16	MC	C	0.657	1	2
85.914	0	16	MC	C	0.683	1	2
89.047	0	16	MC	I	1.448	1	2
95.331	0	16	MC	C	0.596	1	2
98.38	0	16	MC	I	0.813	1	2
102.247	0	16	MC	C	0.73	1	2
106.03	0	16	MC	C	0.978	1	2
109.463	0	16	MC	blank	NaN	NaN	2
111.98	0	16	MC	I	0.995	1	2
117.83	0	16	MC	blank	NaN	NaN	2
121.546	0	16	MC	C	0.782	1	2
126.58	0	16	MC	I	0.958	1	2
128.78	0	16	MC	blank	NaN	NaN	2
131.896	0	16	MC	C	0.833	1	2
137.579	0	16	MC	C	0.967	1	2
140.996	0	16	MC	C	0.742	1	2
144.779	0	16	MC	C	0.668	1	2
147.296	0	16	MC	C	0.918	1	2
153.062	0	16	MC	C	0.991	1	2
155.296	0	16	MC	C	2.515	1	2
160.862	0	16	MC	C	0.644	1	2
162.762	0	16	MC	C	0.844	1	2
167.245	0	16	MC	C	0.662	1	2
169.762	0	16	MC	C	0.768	1	2
173.578	0	16	MC	I	1.821	1	2
177.245	0	16	MC	C	0.847	1	2
179.345	0	16	MC	C	0.761	1	2
184.961	0	16	MC	C	1.51	1	2
189.528	0	16	MC	C	0.872	1	2
195.244	0	16	MC	C	1.36	1	2
203.244	0	16	MC	C	0.717	1	2
207.011	0	16	MC	C	1.402	1	2
212.66	0	16	MC	C	0.908	1	2
216.027	0	16	MC	blank	NaN	NaN	2
218.544	0	16	MC	I	1.802	1	2
223.993	0	16	MC	blank	NaN	NaN	2
227.11	0	16	MC	I	0.935	1	2
231.093	0	16	MC	C	1.105	1	2
235.843	0	16	MC	C	0.764	1	2
240.86	0	16	MC	I	1.534	1	2
244.826	0	16	MC	C	1.329	1	2
249.793	0	16	MC	I	1.608	1	2
252.643	0	16	MC	I	1.57	1	2
256.659	0	16	MC	C	0.889	1	2
262.392	0	16	MC	C	1.289	1	2
264.926	0	16	MC	C	0.776	1	2
268.759	0	16	MC	C	0.99	1	2
271.592	0	16	MC	C	0.695	1	2
275.342	0	16	MC	C	0.687	1	2
278.459	0	16	MC	C	1.609	1	2
284.325	0	16	MC	C	0.737	1	2
286.908	0	16	MC	I	4.581	1	2
295.725	0	16	MC	blank	NaN	NaN	2
300.641	0	16	MC	I	1.46	1	2
304.541	0	16	MC	C	1.892	1	2
309.491	0	16	MC	C	2.226	1	2
314.758	0	16	MC	C	1.082	1	2
320.074	0	16	MC	blank	NaN	NaN	2
389.122	0	16	MC	cue	NaN	NaN	2
399.622	0	16	MC	C	0.947	1	2
403.022	0	16	MC	C	0.453	1	2
406.522	0	16	MC	C	0.827	1	2
408.588	0	16	MC	C	0.82	1	2
413.638	0	16	MC	C	0.534	1	2
419.021	0	16	MC	I	0.736	1	2
422.805	0	16	MC	blank	NaN	NaN	2
424.721	0	16	MC	C	0.581	1	2
429.554	0	16	MC	C	0.635	1	2
432.038	0	16	MC	C	0.699	1	2
435.188	0	16	MC	C	1.093	1	2
439.321	0	16	MC	C	1.222	1	2
443.004	0	16	MC	C	0.655	1	2
446.704	0	16	MC	C	0.915	1	2
449.47	0	16	MC	C	1.128	1	2
452.454	0	16	MC	C	0.912	1	2
455.22	0	16	MC	blank	NaN	NaN	2
460.137	0	16	MC	C	0.674	1	2
464.453	0	16	MC	C	2.312	1	2
469.803	0	16	MC	C	3.546	1	2
476.386	0	16	MC	C	0.821	1	2
479.653	0	16	MC	C	1.1	1	2
484.403	0	16	MC	C	1.601	1	2
489.053	0	16	MC	C	0.586	1	2
492.686	0	16	MC	blank	NaN	NaN	2
496.402	0	16	MC	C	1.986	1	2
499.636	0	16	MC	C	2.461	1	2
504.536	0	16	MC	blank	NaN	NaN	2
507.652	0	16	MC	I	0.978	1	2
509.885	0	16	MC	C	2.948	1	2
514.068	0	16	MC	C	3.449	1	2
520.568	0	16	MC	C	0.947	1	2
523.368	0	16	MC	I	2.416	1	2
528.818	0	16	MC	C	3.364	1	2
535.235	0	16	MC	I	2.456	1	2
540.134	0	16	MC	C	0.769	1	2
543.351	0	16	MC	C	0.923	1	2
547.318	0	16	MC	C	0.843	1	2
549.401	0	16	MC	blank	NaN	NaN	2
551.317	0	16	MC	C	0.861	1	2
554.017	0	16	MC	C	0.601	1	2
557.067	0	16	MC	I	2.753	1	2
561.684	0	16	MC	C	0.912	1	2
566.834	0	16	MC	C	0.774	1	2
