onset	duration	subject	block	trial_type	rt	accuracy	run
88.397	0	10	MC	cue	NaN	NaN	1
98.397	0	10	MC	C	1.213	1	1
100.263	0	10	MC	C	0.677	1	1
104.58	0	10	MC	C	0.589	1	1
110.013	0	10	MC	C	0.574	1	1
113.029	0	10	MC	C	0.67	1	1
116.746	0	10	MC	C	0.608	1	1
118.596	0	10	MC	C	0.628	1	1
123.462	0	10	MC	C	0.573	1	1
128.895	0	10	MC	I	0.705	1	1
131.445	0	10	MC	I	0.773	1	1
135.862	0	10	MC	C	0.605	1	1
138.928	0	10	MC	C	0.553	1	1
142.528	0	10	MC	C	0.554	0	1
145.511	0	10	MC	C	0.567	1	1
147.911	0	10	MC	I	0.786	1	1
149.945	0	10	MC	blank	NaN	NaN	1
151.861	0	10	MC	C	0.58	1	1
154.278	0	10	MC	C	0.5	1	1
157.811	0	10	MC	I	0.93	1	1
162.377	0	10	MC	blank	NaN	NaN	1
166.094	0	10	MC	C	0.621	1	1
169.16	0	10	MC	C	0.498	1	1
172.694	0	10	MC	C	0.553	1	1
179.293	0	10	MC	I	0.744	1	1
181.893	0	10	MC	C	0.543	1	1
184.277	0	10	MC	C	0.586	1	1
186.71	0	10	MC	C	0.598	1	1
190.343	0	10	MC	C	0.646	1	1
195.826	0	10	MC	C	0.551	1	1
198.226	0	10	MC	blank	NaN	NaN	1
200.743	0	10	MC	I	0.759	1	1
205.742	0	10	MC	C	0.47	1	1
208.659	0	10	MC	C	0.489	1	1
210.992	0	10	MC	I	0.674	1	1
214.709	0	10	MC	C	0.495	1	1
221.259	0	10	MC	blank	NaN	NaN	1
224.375	0	10	MC	C	0.688	1	1
226.308	0	10	MC	C	0.545	1	1
229.308	0	10	MC	I	0.722	1	1
231.875	0	10	MC	C	0.62	1	1
236.741	0	10	MC	C	0.549	1	1
243.324	0	10	MC	C	0.689	1	1
245.858	0	10	MC	I	0.641	1	1
251.941	0	10	MC	blank	NaN	NaN	1
257.457	0	10	MC	C	0.611	1	1
259.907	0	10	MC	C	0.657	1	1
263.624	0	10	MC	C	0.515	0	1
269.59	0	10	MC	blank	NaN	NaN	1
273.907	0	10	MC	C	0.611	1	1
277.556	0	10	MC	C	0.63	1	1
283.023	0	10	MC	C	0.683	1	1
285.556	0	10	MC	C	0.546	1	1
287.939	0	10	MC	I	0.67	1	1
290.456	0	10	MC	I	0.842	1	1
294.956	0	10	MC	blank	NaN	NaN	1
297.472	0	10	MC	C	0.645	1	1
301.172	0	10	MC	blank	NaN	NaN	1
306.689	0	10	MC	C	0.708	1	1
310.455	0	10	MC	C	0.512	1	1
315.222	0	10	MC	C	0.546	1	1
321.805	0	10	MC	C	0.793	1	1
328.638	0	10	MC	C	0.575	1	1
332.254	0	10	MC	C	0.633	1	1
336.537	0	10	MC	I	0.681	1	1
338.471	0	10	MC	C	0.773	1	1
343.487	0	10	MC	C	0.624	1	1
347.154	0	10	MC	C	0.631	1	1
352.637	0	10	MC	C	0.592	1	1
414.501	0	10	MC	cue	NaN	NaN	1
424.501	0	10	MC	C	1.124	1	1
431.667	0	10	MC	C	0.562	1	1
438.284	0	10	MC	C	0.654	1	1
440.784	0	10	MC	C	0.625	1	1
444.45	0	10	MC	I	0.759	1	1
449.45	0	10	MC	blank	NaN	NaN	1
452.566	0	10	MC	C	0.537	1	1
455.55	0	10	MC	I	0.792	1	1
459.383	0	10	MC	blank	NaN	NaN	1
463.099	0	10	MC	C	0.529	1	1
465.466	0	10	MC	C	0.653	1	1
470.366	0	10	MC	C	0.51	1	1
473.916	0	10	MC	C	0.415	1	1
476.782	0	10	MC	C	0.849	1	1
480.065	0	10	MC	I	0.755	1	1
484.465	0	10	MC	C	0.627	1	1
488.148	0	10	MC	I	0.846	1	1
495.048	0	10	MC	C	0.756	1	1
497.648	0	10	MC	C	0.688	1	1
500.181	0	10	MC	I	0.688	1	1
503.915	0	10	MC	C	0.551	1	1
507.498	0	10	MC	C	0.558	1	1
514.097	0	10	MC	I	0.865	1	1
519.197	0	10	MC	blank	NaN	NaN	1
522.914	0	10	MC	C	0.757	1	1
525.53	0	10	MC	blank	NaN	NaN	1
529.247	0	10	MC	C	0.686	1	1
532.38	0	10	MC	C	0.808	1	1
538.047	0	10	MC	C	0.818	1	1
541.913	0	10	MC	C	0.601	1	1
544.363	0	10	MC	I	0.662	1	1
550.463	0	10	MC	C	0.71	1	1
554.813	0	10	MC	C	0.634	1	1
557.279	0	10	MC	C	0.57	1	1
559.696	0	10	MC	C	0.659	1	1
561.596	0	10	MC	C	0.559	1	1
567.612	0	10	MC	C	0.507	1	1
569.962	0	10	MC	I	0.646	1	1
571.862	0	10	MC	C	0.578	1	1
573.695	0	10	MC	C	0.528	1	1
577.862	0	10	MC	C	0.595	1	1
580.312	0	10	MC	C	0.529	1	1
584.495	0	10	MC	C	0.702	1	1
588.245	0	10	MC	I	0.665	1	1
591.961	0	10	MC	C	0.538	1	1
593.745	0	10	MC	blank	NaN	NaN	1
599.261	0	10	MC	C	0.662	1	1
604.177	0	10	MC	C	0.546	1	1
608.361	0	10	MC	C	0.731	1	1
612.127	0	10	MC	blank	NaN	NaN	1
615.244	0	10	MC	I	0.585	1	1
617.077	0	10	MC	C	0.577	1	1
620.093	0	10	MC	C	0.505	1	1
623.043	0	10	MC	I	0.627	1	1
627.327	0	10	MC	C	0.562	1	1
629.126	0	10	MC	C	0.698	1	1
634.66	0	10	MC	C	0.562	1	1
641.259	0	10	MC	C	0.554	1	1
644.859	0	10	MC	C	0.518	1	1
646.626	0	10	MC	I	0.698	1	1
649.176	0	10	MC	blank	NaN	NaN	1
651.692	0	10	MC	C	0.614	1	1
654.142	0	10	MC	C	0.506	1	1
656.492	0	10	MC	C	0.473	1	1
660.009	0	10	MC	C	0.463	1	1
663.525	0	10	MC	blank	NaN	NaN	1
666.642	0	10	MC	C	0.501	1	1
670.792	0	10	MC	C	0.438	0	1
728.789	0	10	MI	cue	NaN	NaN	1
739.289	0	10	MI	I	0.766	1	1
743.089	0	10	MI	I	0.793	1	1
745.739	0	10	MI	I	0.671	1	1
747.655	0	10	MI	I	0.776	1	1
751.472	0	10	MI	I	0.596	1	1
754.505	0	10	MI	I	0.714	1	1
760.671	0	10	MI	C	0.61	1	1
764.321	0	10	MI	blank	NaN	NaN	1
768.038	0	10	MI	C	1.025	1	1
770.304	0	10	MI	I	0.643	1	1
775.204	0	10	MI	C	0.549	1	1
778.204	0	10	MI	I	0.76	1	1
781.421	0	10	MI	I	0.743	1	1
784.621	0	10	MI	I	0.681	1	1
791.354	0	10	MI	I	0.666	1	1
795.07	0	10	MI	I	0.646	1	1
797.57	0	10	MI	I	0.579	1	1
800.587	0	10	MI	I	0.74	1	1
804.97	0	10	MI	C	0.809	1	1
807.636	0	10	MI	C	0.686	1	1
811.97	0	10	MI	I	0.639	1	1
813.853	0	10	MI	I	0.678	1	1
816.986	0	10	MI	I	0.619	1	1
819.453	0	10	MI	I	0.623	1	1
821.919	0	10	MI	blank	NaN	NaN	1
827.436	0	10	MI	I	0.669	1	1
829.352	0	10	MI	I	0.725	1	1
832.519	0	10	MI	I	0.597	1	1
835.569	0	10	MI	C	0.74	1	1
838.752	0	10	MI	I	0.707	1	1
840.718	0	10	MI	I	0.705	1	1
844.468	0	10	MI	I	0.701	1	1
850.018	0	10	MI	C	0.656	1	1
853.718	0	10	MI	blank	NaN	NaN	1
855.635	0	10	MI	I	0.665	1	1
859.351	0	10	MI	blank	NaN	NaN	1
862.468	0	10	MI	I	0.724	1	1
869.234	0	10	MI	blank	NaN	NaN	1
872.351	0	10	MI	I	0.709	1	1
876.117	0	10	MI	I	0.767	1	1
878.734	0	10	MI	C	0.656	1	1
881.85	0	10	MI	blank	NaN	NaN	1
886.167	0	10	MI	C	0.68	1	1
889.283	0	10	MI	I	0.714	1	1
891.233	0	10	MI	I	0.578	1	1
896.65	0	10	MI	I	0.745	1	1
899.233	0	10	MI	I	0.577	1	1
902.25	0	10	MI	I	0.606	1	1
904.099	0	10	MI	I	0.695	1	1
907.849	0	10	MI	I	0.997	1	1
910.082	0	10	MI	I	0.665	1	1
913.782	0	10	MI	I	0.658	1	1
916.882	0	10	MI	I	0.745	1	1
920.065	0	10	MI	C	0.776	1	1
923.899	0	10	MI	I	0.646	1	1
925.799	0	10	MI	I	0.69	1	1
928.332	0	10	MI	blank	NaN	NaN	1
932.048	0	10	MI	I	0.737	1	1
935.232	0	10	MI	I	0.77	1	1
939.065	0	10	MI	I	0.596	1	1
