onset	duration	subject	block	trial_type	rt	accuracy	run
90.947	0	6	MI	cue	NaN	NaN	1
101.446	0	6	MI	I	1.002	1	1
107.296	0	6	MI	I	0.879	1	1
113.613	0	6	MI	I	0.697	1	1
116.163	0	6	MI	I	0.904	1	1
120.712	0	6	MI	C	0.822	1	1
126.979	0	6	MI	blank	NaN	NaN	1
130.095	0	6	MI	I	0.795	1	1
132.129	0	6	MI	I	0.806	1	1
134.179	0	6	MI	I	0.708	1	1
140.928	0	6	MI	I	0.972	1	1
144.945	0	6	MI	C	0.583	1	1
148.578	0	6	MI	blank	NaN	NaN	1
152.294	0	6	MI	I	0.766	1	1
155.494	0	6	MI	I	0.682	1	1
158.011	0	6	MI	C	0.711	1	1
161.761	0	6	MI	I	0.816	1	1
165.011	0	6	MI	C	0.684	1	1
168.727	0	6	MI	I	0.813	1	1
170.794	0	6	MI	I	0.902	0	1
174.744	0	6	MI	I	0.764	1	1
177.36	0	6	MI	blank	NaN	NaN	1
181.077	0	6	MI	I	0.655	1	1
184.177	0	6	MI	I	0.808	1	1
187.426	0	6	MI	blank	NaN	NaN	1
189.343	0	6	MI	C	0.654	1	1
191.843	0	6	MI	blank	NaN	NaN	1
196.159	0	6	MI	I	0.826	1	1
198.226	0	6	MI	I	0.973	1	1
202.243	0	6	MI	I	0.91	1	1
208.009	0	6	MI	I	0.764	1	1
214.825	0	6	MI	I	0.733	1	1
216.809	0	6	MI	I	1.318	1	1
219.959	0	6	MI	I	0.885	1	1
223.892	0	6	MI	I	0.959	1	1
227.908	0	6	MI	C	0.727	1	1
232.275	0	6	MI	C	0.667	1	1
235.991	0	6	MI	blank	NaN	NaN	1
238.508	0	6	MI	C	0.699	1	1
245.258	0	6	MI	I	0.767	1	1
249.074	0	6	MI	C	0.695	1	1
251.024	0	6	MI	C	0.496	1	1
255.757	0	6	MI	I	0.915	1	1
259.724	0	6	MI	I	0.686	1	1
264.057	0	6	MI	I	0.866	1	1
266.757	0	6	MI	I	0.801	1	1
269.407	0	6	MI	I	0.737	1	1
271.99	0	6	MI	I	1.059	1	1
275.49	0	6	MI	I	0.829	1	1
278.773	0	6	MI	I	0.744	1	1
283.173	0	6	MI	I	0.87	1	1
287.089	0	6	MI	C	0.977	1	1
290.506	0	6	MI	I	0.793	1	1
294.339	0	6	MI	I	0.866	1	1
299.456	0	6	MI	I	0.834	1	1
301.522	0	6	MI	I	0.926	1	1
305.505	0	6	MI	I	0.791	1	1
308.155	0	6	MI	blank	NaN	NaN	1
310.672	0	6	MI	I	0.888	1	1
317.005	0	6	MI	C	0.815	1	1
321.455	0	6	MI	I	0.753	1	1
324.655	0	6	MI	I	0.985	1	1
326.871	0	6	MI	I	0.891	1	1
330.804	0	6	MI	I	0.797	1	1
334.654	0	6	MI	I	0.733	1	1
337.821	0	6	MI	blank	NaN	NaN	1
339.737	0	6	MI	I	0.856	1	1
344.237	0	6	MI	I	0.729	1	1
346.82	0	6	MI	I	0.678	1	1
408.851	0	6	MC	cue	NaN	NaN	1
419.351	0	6	MC	C	0.845	1	1
422.651	0	6	MC	C	0.557	1	1
424.451	0	6	MC	C	0.729	1	1
427.617	0	6	MC	C	0.655	1	1
431.317	0	6	MC	C	0.839	1	1
435.217	0	6	MC	I	1.257	1	1
438.917	0	6	MC	I	1.273	1	1
442.65	0	6	MC	I	0.94	1	1
444.85	0	6	MC	blank	NaN	NaN	1
450.366	0	6	MC	C	0.994	1	1
453.2	0	6	MC	blank	NaN	NaN	1
458.716	0	6	MC	C	0.742	1	1
461.316	0	6	MC	C	0.772	1	1
463.333	0	6	MC	C	0.776	1	1
465.966	0	6	MC	C	0.714	1	1
470.916	0	6	MC	C	0.77	1	1
473.532	0	6	MC	C	0.666	1	1
480.232	0	6	MC	C	0.981	1	1
484.249	0	6	MC	C	0.632	0	1
487.315	0	6	MC	I	1.022	1	1
493.781	0	6	MC	blank	NaN	NaN	1
500.498	0	6	MC	C	0.813	1	1
506.748	0	6	MC	C	0.641	1	1
508.631	0	6	MC	I	0.803	1	1
511.881	0	6	MC	I	0.778	1	1
515.097	0	6	MC	blank	NaN	NaN	1
517.014	0	6	MC	C	0.754	1	1
520.214	0	6	MC	C	0.525	1	1
523.78	0	6	MC	C	0.465	1	1
525.497	0	6	MC	C	0.774	1	1
532.913	0	6	MC	blank	NaN	NaN	1
534.83	0	6	MC	C	0.753	1	1
537.43	0	6	MC	C	0.917	1	1
539.596	0	6	MC	C	0.792	1	1
544.63	0	6	MC	C	0.699	1	1
549.563	0	6	MC	C	2.545	1	1
553.962	0	6	MC	I	1.029	1	1
556.846	0	6	MC	I	0.698	1	1
559.379	0	6	MC	C	0.796	0	1
565.029	0	6	MC	blank	NaN	NaN	1
568.745	0	6	MC	C	0.876	1	1
573.262	0	6	MC	C	0.852	1	1
576.545	0	6	MC	I	0.644	1	1
582.628	0	6	MC	C	0.811	1	1
585.278	0	6	MC	C	0.709	1	1
589.644	0	6	MC	C	0.723	1	1
593.428	0	6	MC	C	0.62	1	1
595.294	0	6	MC	C	1.16	1	1
599.494	0	6	MC	blank	NaN	NaN	1
602.611	0	6	MC	I	0.964	1	1
606.027	0	6	MC	blank	NaN	NaN	1
610.344	0	6	MC	C	0.852	1	1
613.627	0	6	MC	C	0.736	1	1
619.793	0	6	MC	I	0.856	1	1
627.91	0	6	MC	C	0.897	1	1
632.46	0	6	MC	C	0.699	1	1
635.009	0	6	MC	C	1.131	1	1
639.176	0	6	MC	C	0.738	1	1
642.376	0	6	MC	C	0.816	1	1
648.042	0	6	MC	C	0.585	1	1
651.076	0	6	MC	C	0.637	1	1
654.759	0	6	MC	C	0.973	1	1
658.775	0	6	MC	C	0.625	1	1
666.042	0	6	MC	C	1.081	1	1
668.375	0	6	MC	C	0.757	1	1
670.375	0	6	MC	C	0.677	1	1
673.491	0	6	MC	I	0.874	1	1
678.608	0	6	MC	C	0.902	1	1
738.806	0	6	MI	cue	NaN	NaN	1
749.305	0	6	MI	I	1.038	1	1
751.605	0	6	MI	I	0.997	1	1
759.838	0	6	MI	I	0.835	1	1
765.521	0	6	MI	I	0.988	1	1
768.354	0	6	MI	C	0.74	1	1
773.937	0	6	MI	blank	NaN	NaN	1
778.254	0	6	MI	C	0.97	1	1
784.071	0	6	MI	I	1.056	1	1
788.17	0	6	MI	C	0.693	1	1
793.72	0	6	MI	C	0.821	1	1
797.587	0	6	MI	C	0.741	1	1
799.586	0	6	MI	blank	NaN	NaN	1
803.303	0	6	MI	C	0.922	1	1
806.086	0	6	MI	C	0.72	1	1
810.453	0	6	MI	blank	NaN	NaN	1
813.569	0	6	MI	I	0.882	1	1
817.503	0	6	MI	I	0.871	1	1
819.619	0	6	MI	I	1.894	1	1
823.969	0	6	MI	I	0.88	1	1
830.285	0	6	MI	I	0.659	1	1
832.785	0	6	MI	I	0.858	1	1
836.085	0	6	MI	blank	NaN	NaN	1
839.202	0	6	MI	I	1.017	1	1
845.068	0	6	MI	I	0.807	1	1
847.718	0	6	MI	C	0.625	1	1
850.185	0	6	MI	blank	NaN	NaN	1
855.701	0	6	MI	C	0.785	1	1
859.518	0	6	MI	I	0.755	1	1
863.317	0	6	MI	I	0.787	1	1
865.351	0	6	MI	I	0.802	0	1
868.601	0	6	MI	I	1.114	1	1
875.75	0	6	MI	I	0.852	1	1
880.25	0	6	MI	I	0.821	1	1
882.917	0	6	MI	I	1.635	1	1
