onset	duration	subject	block	trial_type	rt	accuracy	run
118.763	0	8	MC	cue	NaN	NaN	1
128.763	0	8	MC	C	1.238	1	1
134.863	0	8	MC	C	0.595	1	1
137.296	0	8	MC	C	0.647	1	1
143.979	0	8	MC	C	0.497	1	1
149.312	0	8	MC	C	0.648	1	1
153.612	0	8	MC	C	0.578	1	1
158.429	0	8	MC	C	0.512	1	1
161.395	0	8	MC	C	0.647	1	1
163.878	0	8	MC	I	0.63	1	1
166.362	0	8	MC	C	0.557	1	1
172.361	0	8	MC	blank	NaN	NaN	1
175.478	0	8	MC	C	0.518	1	1
178.445	0	8	MC	C	0.568	1	1
180.861	0	8	MC	I	0.746	1	1
185.261	0	8	MC	C	0.55	1	1
187.661	0	8	MC	C	0.702	1	1
190.794	0	8	MC	C	0.621	1	1
198.661	0	8	MC	blank	NaN	NaN	1
201.777	0	8	MC	I	0.808	1	1
206.227	0	8	MC	C	0.502	1	1
209.777	0	8	MC	C	0.665	1	1
212.293	0	8	MC	C	0.7	1	1
216.027	0	8	MC	C	0.549	1	1
220.827	0	8	MC	C	0.509	1	1
223.776	0	8	MC	I	0.692	1	1
228.11	0	8	MC	C	0.625	1	1
229.993	0	8	MC	C	0.52	1	1
236.559	0	8	MC	C	0.503	1	1
240.109	0	8	MC	I	0.528	0	1
243.676	0	8	MC	C	0.562	1	1
249.076	0	8	MC	C	0.719	1	1
252.826	0	8	MC	C	0.509	1	1
255.775	0	8	MC	blank	NaN	NaN	1
262.492	0	8	MC	C	0.513	1	1
264.242	0	8	MC	I	0.706	1	1
266.792	0	8	MC	C	0.522	1	1
270.375	0	8	MC	C	0.818	1	1
274.241	0	8	MC	I	0.749	1	1
276.842	0	8	MC	blank	NaN	NaN	1
283.558	0	8	MC	C	0.787	1	1
287.991	0	8	MC	C	0.543	0	1
291.591	0	8	MC	C	0.554	1	1
295.191	0	8	MC	C	0.703	1	1
301.941	0	8	MC	C	0.674	1	1
308.657	0	8	MC	I	0.62	1	1
312.307	0	8	MC	blank	NaN	NaN	1
320.223	0	8	MC	C	0.677	1	1
323.357	0	8	MC	C	0.484	1	1
326.89	0	8	MC	C	0.801	1	1
330.74	0	8	MC	C	0.579	1	1
334.973	0	8	MC	I	0.928	1	1
337.14	0	8	MC	C	0.687	1	1
340.273	0	8	MC	blank	NaN	NaN	1
342.189	0	8	MC	I	0.743	1	1
344.173	0	8	MC	blank	NaN	NaN	1
348.489	0	8	MC	C	0.692	1	1
355.222	0	8	MC	I	0.621	1	1
357.689	0	8	MC	blank	NaN	NaN	1
362.605	0	8	MC	C	0.696	1	1
366.355	0	8	MC	C	0.591	1	1
368.189	0	8	MC	C	0.611	1	1
371.838	0	8	MC	C	0.635	1	1
375.522	0	8	MC	C	0.84	1	1
379.405	0	8	MC	C	0.627	1	1
383.071	0	8	MC	C	0.598	1	1
386.705	0	8	MC	C	0.62	1	1
392.171	0	8	MC	I	0.769	1	1
395.988	0	8	MC	C	0.869	1	1
470.902	0	8	MI	cue	NaN	NaN	1
481.402	0	8	MI	I	0.881	1	1
485.335	0	8	MI	I	0.72	1	1
487.901	0	8	MI	I	0.622	1	1
491.568	0	8	MI	I	0.594	1	1
495.201	0	8	MI	I	0.872	1	1
498.518	0	8	MI	C	0.644	1	1
500.418	0	8	MI	blank	NaN	NaN	1
505.934	0	8	MI	I	0.621	1	1
510.201	0	8	MI	blank	NaN	NaN	1
513.917	0	8	MI	I	0.694	1	1
515.851	0	8	MI	I	0.749	1	1
519.634	0	8	MI	I	0.701	1	1
525.184	0	8	MI	I	0.657	1	1
527.684	0	8	MI	I	0.742	1	1
531.467	0	8	MI	I	0.646	1	1
536.367	0	8	MI	I	0.639	1	1
541.25	0	8	MI	I	0.581	1	1
544.883	0	8	MI	I	0.736	1	1
546.866	0	8	MI	I	0.564	1	1
549.883	0	8	MI	blank	NaN	NaN	1
554.199	0	8	MI	C	0.555	1	1
558.399	0	8	MI	C	0.765	1	1
564.016	0	8	MI	I	0.711	1	1
566.566	0	8	MI	C	0.553	1	1
568.966	0	8	MI	I	0.59	1	1
571.399	0	8	MI	I	0.58	1	1
573.832	0	8	MI	C	0.644	1	1
577.532	0	8	MI	I	0.533	1	1
580.499	0	8	MI	I	0.545	1	1
587.082	0	8	MI	I	0.635	1	1
588.965	0	8	MI	I	0.602	1	1
590.815	0	8	MI	I	0.666	1	1
596.915	0	8	MI	I	0.641	1	1
600.598	0	8	MI	I	0.6	1	1
604.248	0	8	MI	I	0.549	1	1
607.248	0	8	MI	I	0.57	1	1
609.664	0	8	MI	I	0.694	1	1
614.614	0	8	MI	I	0.61	1	1
616.464	0	8	MI	I	0.563	1	1
618.864	0	8	MI	C	0.577	1	1
621.881	0	8	MI	I	0.564	1	1
625.481	0	8	MI	blank	NaN	NaN	1
627.997	0	8	MI	I	0.621	1	1
631.664	0	8	MI	C	0.518	1	1
633.43	0	8	MI	C	0.64	1	1
638.313	0	8	MI	blank	NaN	NaN	1
640.23	0	8	MI	C	0.716	1	1
642.78	0	8	MI	blank	NaN	NaN	1
645.296	0	8	MI	I	0.64	1	1
649.58	0	8	MI	I	0.604	1	1
651.43	0	8	MI	I	0.582	1	1
655.063	0	8	MI	I	0.561	0	1
658.679	0	8	MI	I	0.552	1	1
661.079	0	8	MI	I	0.615	1	1
662.929	0	8	MI	I	0.53	1	1
664.696	0	8	MI	I	0.728	1	1
669.662	0	8	MI	C	0.769	1	1
673.479	0	8	MI	I	0.654	1	1
680.179	0	8	MI	I	0.639	1	1
683.279	0	8	MI	I	1.402	1	1
686.529	0	8	MI	I	0.642	1	1
690.212	0	8	MI	I	0.714	1	1
694.562	0	8	MI	C	0.555	1	1
698.162	0	8	MI	blank	NaN	NaN	1
702.478	0	8	MI	I	0.742	1	1
709.278	0	8	MI	C	0.72	1	1
711.244	0	8	MI	I	0.771	1	1
714.461	0	8	MI	blank	NaN	NaN	1
781.526	0	8	MI	cue	NaN	NaN	1
792.025	0	8	MI	I	0.8	1	1
798.258	0	8	MI	I	0.672	1	1
800.775	0	8	MI	I	0.627	1	1
807.441	0	8	MI	I	0.63	1	1
811.125	0	8	MI	C	0.485	1	1
815.241	0	8	MI	I	0.553	1	1
817.641	0	8	MI	C	0.723	1	1
819.608	0	8	MI	I	0.626	1	1
823.274	0	8	MI	C	0.501	1	1
825.024	0	8	MI	I	0.627	1	1
828.707	0	8	MI	I	0.672	1	1
830.624	0	8	MI	I	0.605	0	1
833.674	0	8	MI	I	0.631	1	1
836.14	0	8	MI	I	0.81	1	1
841.79	0	8	MI	I	0.781	1	1
846.207	0	8	MI	I	0.706	1	1
853.573	0	8	MI	I	0.773	1	1
