onset	duration	subject	block	trial_type	rt	accuracy	run
30.066	0	7	MC	cue	NaN	NaN	2
40.065	0	7	MC	C	0.779	1	2
42.699	0	7	MC	C	0.655	1	2
45.799	0	7	MC	C	0.642	1	2
50.682	0	7	MC	C	0.511	1	2
52.432	0	7	MC	I	0.625	1	2
59.115	0	7	MC	blank	NaN	NaN	2
62.831	0	7	MC	C	0.689	1	2
66.565	0	7	MC	C	0.614	1	2
69.031	0	7	MC	C	0.701	1	2
73.381	0	7	MC	C	0.584	1	2
75.814	0	7	MC	C	0.733	1	2
78.998	0	7	MC	C	0.572	1	2
80.814	0	7	MC	C	0.5	1	2
83.164	0	7	MC	C	0.485	1	2
85.497	0	7	MC	C	0.471	1	2
87.814	0	7	MC	C	0.451	1	2
95.497	0	7	MC	C	0.458	1	2
97.797	0	7	MC	C	0.581	1	2
101.43	0	7	MC	C	0.444	1	2
106.114	0	7	MC	I	0.622	1	2
107.38	0	7	MC	blank	NaN	NaN	2
111.697	0	7	MC	C	0.526	1	2
117.663	0	7	MC	I	0.58	1	2
120.08	0	7	MC	I	0.666	1	2
123.196	0	7	MC	C	0.679	1	2
125.113	0	7	MC	C	0.484	1	2
129.246	0	7	MC	I	0.621	1	2
131.713	0	7	MC	C	0.383	1	2
138.146	0	7	MC	C	0.663	1	2
139.463	0	7	MC	C	0.751	1	2
143.246	0	7	MC	C	0.556	1	2
149.245	0	7	MC	C	0.496	1	2
153.379	0	7	MC	C	0.593	1	2
157.028	0	7	MC	blank	NaN	NaN	2
160.145	0	7	MC	I	0.927	1	2
165.328	0	7	MC	C	0.499	1	2
168.261	0	7	MC	C	0.53	1	2
171.245	0	7	MC	C	0.562	1	2
174.261	0	7	MC	blank	NaN	NaN	2
179.778	0	7	MC	C	0.526	1	2
182.161	0	7	MC	I	0.561	1	2
184.561	0	7	MC	I	0.968	1	2
187.961	0	7	MC	I	0.527	1	2
194.527	0	7	MC	blank	NaN	NaN	2
197.644	0	7	MC	C	0.657	1	2
201.344	0	7	MC	C	0.638	1	2
204.427	0	7	MC	C	0.526	1	2
206.794	0	7	MC	C	0.525	1	2
210.96	0	7	MC	C	0.843	1	2
215.46	0	7	MC	I	0.692	1	2
217.993	0	7	MC	C	0.442	1	2
223.876	0	7	MC	C	0.556	1	2
227.476	0	7	MC	C	0.579	1	2
233.509	0	7	MC	blank	NaN	NaN	2
239.026	0	7	MC	C	0.852	1	2
244.726	0	7	MC	I	0.799	1	2
247.359	0	7	MC	blank	NaN	NaN	2
254.075	0	7	MC	C	0.699	1	2
257.209	0	7	MC	blank	NaN	NaN	2
260.325	0	7	MC	C	0.58	1	2
262.742	0	7	MC	C	2.535	1	2
268.325	0	7	MC	C	0.697	1	2
272.075	0	7	MC	I	0.744	1	2
275.858	0	7	MC	C	0.673	1	2
279.575	0	7	MC	C	0.639	1	2
282.658	0	7	MC	C	0.747	1	2
284.658	0	7	MC	C	0.568	1	2
288.275	0	7	MC	C	0.565	1	2
351.472	0	7	MI	cue	NaN	NaN	2
361.972	0	7	MI	I	0.903	1	2
364.722	0	7	MI	I	0.505	1	2
367.655	0	7	MI	I	0.634	1	2
372.538	0	7	MI	I	0.613	1	2
378.588	0	7	MI	I	0.737	1	2
381.172	0	7	MI	blank	NaN	NaN	2
384.288	0	7	MI	I	0.721	1	2
388.055	0	7	MI	C	0.521	1	2
390.421	0	7	MI	I	0.64	1	2
392.904	0	7	MI	C	0.418	1	2
399.971	0	7	MI	I	0.621	1	2
403.037	0	7	MI	I	0.739	1	2
405.621	0	7	MI	I	0.509	1	2
408.587	0	7	MI	I	0.524	1	2
410.954	0	7	MI	I	0.753	1	2
413.554	0	7	MI	I	0.562	1	2
415.97	0	7	MI	I	0.558	1	2
418.97	0	7	MI	C	0.7	1	2
422.12	0	7	MI	I	0.691	1	2
424.653	0	7	MI	I	0.674	1	2
427.77	0	7	MI	I	0.657	1	2
433.87	0	7	MI	I	0.575	1	2
436.303	0	7	MI	I	0.793	1	2
439.553	0	7	MI	I	0.571	1	2
442.569	0	7	MI	C	0.766	1	2
448.769	0	7	MI	I	0.561	1	2
450.586	0	7	MI	I	0.986	1	2
453.403	0	7	MI	blank	NaN	NaN	2
460.719	0	7	MI	I	0.724	1	2
463.286	0	7	MI	I	0.612	1	2
466.352	0	7	MI	I	0.97	1	2
469.769	0	7	MI	C	0.466	1	2
473.285	0	7	MI	I	0.705	1	2
477.635	0	7	MI	I	0.77	1	2
480.252	0	7	MI	C	0.58	1	2
483.868	0	7	MI	blank	NaN	NaN	2
486.985	0	7	MI	I	0.637	1	2
490.668	0	7	MI	I	0.627	1	2
493.135	0	7	MI	I	0.822	1	2
496.418	0	7	MI	blank	NaN	NaN	2
503.134	0	7	MI	I	1.095	1	2
506.667	0	7	MI	I	1.003	1	2
510.117	0	7	MI	C	0.803	1	2
513.367	0	7	MI	I	0.608	1	2
516.417	0	7	MI	C	0.94	1	2
522.8	0	7	MI	blank	NaN	NaN	2
527.117	0	7	MI	I	0.894	1	2
529.267	0	7	MI	I	1.244	1	2
531.767	0	7	MI	I	0.716	1	2
534.933	0	7	MI	C	0.497	1	2
537.867	0	7	MI	blank	NaN	NaN	2
542.783	0	7	MI	C	0.782	1	2
546.6	0	7	MI	I	1.598	1	2
549.449	0	7	MI	I	0.627	1	2
554.916	0	7	MI	C	0.494	1	2
557.266	0	7	MI	I	0.512	1	2
560.833	0	7	MI	I	0.599	1	2
564.482	0	7	MI	I	0.537	1	2
571.066	0	7	MI	I	1.007	0	2
577.515	0	7	MI	I	0.687	1	2
581.249	0	7	MI	I	1.324	1	2
584.415	0	7	MI	I	0.488	1	2
587.348	0	7	MI	C	0.641	1	2
593.432	0	7	MI	blank	NaN	NaN	2
595.948	0	7	MI	I	0.712	1	2
603.298	0	7	MI	I	0.832	1	2
607.181	0	7	MI	I	0.827	1	2
609.864	0	7	MI	blank	NaN	NaN	2
665.462	0	7	MI	cue	NaN	NaN	2
675.962	0	7	MI	I	0.859	1	2
679.279	0	7	MI	I	0.655	1	2
682.379	0	7	MI	I	0.644	1	2
686.662	0	7	MI	I	0.671	1	2
693.378	0	7	MI	I	0.938	1	2
697.361	0	7	MI	C	0.897	1	2
699.511	0	7	MI	C	0.562	1	2
702.511	0	7	MI	blank	NaN	NaN	2
706.828	0	7	MI	C	0.636	1	2
712.911	0	7	MI	I	0.723	1	2
716.678	0	7	MI	I	0.939	1	2
721.261	0	7	MI	C	0.54	1	2
723.644	0	7	MI	I	0.697	1	2
725.594	0	7	MI	I	0.785	1	2
730.627	0	7	MI	I	0.817	1	2
736.894	0	7	MI	blank	NaN	NaN	2
740.61	0	7	MI	I	0.554	1	2
746.01	0	7	MI	I	0.62	1	2
749.076	0	7	MI	C	0.584	1	2
755.71	0	7	MI	I	0.725	0	2
758.276	0	7	MI	I	0.568	1	2
760.676	0	7	MI	I	0.566	1	2
763.676	0	7	MI	I	0.897	1	2
769.426	0	7	MI	C	0.624	1	2
774.292	0	7	MI	I	1.12	1	2
778.459	0	7	MI	I	0.83	1	2
780.526	0	7	MI	I	1.233	1	2
783.592	0	7	MI	I	0.867	1	2
789.892	0	7	MI	C	0.771	1	2
792.509	0	7	MI	blank	NaN	NaN	2
795.625	0	7	MI	I	1.088	1	2
802.158	0	7	MI	I	0.583	1	2
805.775	0	7	MI	I	0.72	1	2
810.141	0	7	MI	I	0.641	1	2
812.624	0	7	MI	I	0.63	1	2
814.491	0	7	MI	I	0.746	1	2
817.674	0	7	MI	C	0.743	1	2
821.474	0	7	MI	I	0.61	1	2
824.524	0	7	MI	I	0.696	1	2
828.257	0	7	MI	I	0.769	1	2
832.057	0	7	MI	I	0.75	1	2
835.857	0	7	MI	C	1.517	1	2
838.624	0	7	MI	blank	NaN	NaN	2
840.54	0	7	MI	I	0.597	1	2
844.19	0	7	MI	I	0.671	1	2
846.107	0	7	MI	I	0.774	1	2
849.323	0	7	MI	blank	NaN	NaN	2
851.84	0	7	MI	I	0.78	1	2
855.073	0	7	MI	C	1.438	1	2
858.956	0	7	MI	blank	NaN	NaN	2
860.873	0	7	MI	I	0.684	1	2
863.406	0	7	MI	I	0.945	1	2
868.006	0	7	MI	I	0.73	1	2
869.989	0	7	MI	I	0.768	1	2
872.589	0	7	MI	C	0.799	1	2
877.622	0	7	MI	I	0.8	1	2
883.272	0	7	MI	I	0.868	1	2
886.572	0	7	MI	I	0.6	1	2
890.222	0	7	MI	I	0.711	1	2
896.989	0	7	MI	blank	NaN	NaN	2
899.505	0	7	MI	I	1.047	1	2
903.605	0	7	MI	I	0.649	1	2
