onset	duration	subject	block	trial_type	rt	accuracy	run
104.063	0	1	MI	cue	NaN	NaN	1
114.563	0	1	MI	I	0.832	1	1
119.03	0	1	MI	I	0.674	1	1
120.946	0	1	MI	I	0.599	1	1
123.979	0	1	MI	I	0.672	0	1
128.279	0	1	MI	I	0.671	1	1
131.979	0	1	MI	C	0.726	1	1
138.746	0	1	MI	C	0.69	1	1
141.879	0	1	MI	blank	NaN	NaN	1
143.795	0	1	MI	C	0.755	1	1
145.779	0	1	MI	I	0.714	1	1
152.528	0	1	MI	I	0.826	1	1
154.595	0	1	MI	C	0.82	1	1
159.645	0	1	MI	C	0.628	1	1
162.111	0	1	MI	I	0.627	1	1
165.778	0	1	MI	I	0.813	1	1
172.028	0	1	MI	C	0.694	1	1
175.161	0	1	MI	C	0.701	1	1
178.894	0	1	MI	I	0.765	1	1
181.494	0	1	MI	I	0.722	1	1
184.661	0	1	MI	I	0.659	1	1
188.361	0	1	MI	C	0.623	1	1
192.627	0	1	MI	I	0.614	1	1
195.677	0	1	MI	I	0.628	1	1
197.544	0	1	MI	I	0.697	1	1
203.677	0	1	MI	I	0.775	1	1
205.693	0	1	MI	C	0.742	1	1
207.677	0	1	MI	blank	NaN	NaN	1
211.393	0	1	MI	I	0.629	1	1
213.26	0	1	MI	C	0.58	1	1
216.876	0	1	MI	blank	NaN	NaN	1
220.593	0	1	MI	I	0.662	1	1
226.693	0	1	MI	I	0.722	1	1
229.259	0	1	MI	I	0.621	1	1
235.909	0	1	MI	blank	NaN	NaN	1
239.026	0	1	MI	I	0.721	1	1
242.792	0	1	MI	I	0.729	1	1
245.359	0	1	MI	I	0.734	1	1
250.925	0	1	MI	I	0.689	1	1
253.459	0	1	MI	I	0.667	1	1
258.358	0	1	MI	I	0.642	1	1
261.442	0	1	MI	I	0.612	1	1
264.492	0	1	MI	I	0.686	1	1
268.208	0	1	MI	I	0.555	1	1
269.991	0	1	MI	I	0.57	1	1
272.991	0	1	MI	blank	NaN	NaN	1
274.908	0	1	MI	I	0.676	1	1
278.625	0	1	MI	I	0.608	1	1
281.074	0	1	MI	C	0.663	1	1
284.774	0	1	MI	I	0.787	1	1
290.991	0	1	MI	I	0.664	1	1
292.891	0	1	MI	I	0.569	1	1
295.291	0	1	MI	blank	NaN	NaN	1
298.407	0	1	MI	I	0.569	1	1
302.607	0	1	MI	I	0.55	1	1
307.99	0	1	MI	I	0.656	1	1
312.29	0	1	MI	I	0.585	1	1
316.507	0	1	MI	I	0.632	1	1
319.573	0	1	MI	I	0.701	1	1
323.306	0	1	MI	I	0.503	1	1
326.24	0	1	MI	I	0.565	1	1
329.24	0	1	MI	I	0.656	1	1
333.539	0	1	MI	I	0.646	1	1
337.823	0	1	MI	blank	NaN	NaN	1
340.939	0	1	MI	C	0.716	1	1
343.489	0	1	MI	blank	NaN	NaN	1
349.606	0	1	MI	I	0.605	1	1
353.255	0	1	MI	I	0.635	1	1
357.522	0	1	MI	I	0.846	1	1
419.07	0	1	MC	cue	NaN	NaN	1
429.57	0	1	MC	C	0.714	1	1
431.52	0	1	MC	C	0.618	1	1
436.369	0	1	MC	C	0.707	1	1
442.519	0	1	MC	C	0.568	1	1
445.519	0	1	MC	C	0.593	1	1
447.353	0	1	MC	C	0.54	1	1
450.336	0	1	MC	C	0.562	1	1
452.136	0	1	MC	C	0.658	1	1
454.036	0	1	MC	C	0.544	1	1
456.419	0	1	MC	blank	NaN	NaN	1
458.935	0	1	MC	C	0.519	0	1
461.285	0	1	MC	I	0.945	1	1
468.868	0	1	MC	I	0.727	1	1
475.635	0	1	MC	blank	NaN	NaN	1
478.751	0	1	MC	C	0.857	1	1
481.451	0	1	MC	C	0.552	1	1
487.435	0	1	MC	blank	NaN	NaN	1
491.151	0	1	MC	C	0.614	1	1
493.601	0	1	MC	C	0.563	1	1
499.601	0	1	MC	C	0.565	1	1
502.601	0	1	MC	I	0.696	1	1
506.334	0	1	MC	C	0.541	1	1
508.117	0	1	MC	I	0.678	1	1
510.634	0	1	MC	C	0.645	1	1
513.117	0	1	MC	C	0.546	1	1
516.7	0	1	MC	I	0.655	1	1
522.2	0	1	MC	C	0.578	1	1
525.217	0	1	MC	C	0.501	1	1
530.55	0	1	MC	C	0.51	1	1
538.3	0	1	MC	I	0.777	1	1
541.516	0	1	MC	blank	NaN	NaN	1
543.433	0	1	MC	C	0.522	1	1
545.799	0	1	MC	C	0.563	1	1
549.399	0	1	MC	C	0.611	1	1
554.249	0	1	MC	C	0.671	1	1
557.349	0	1	MC	C	0.561	1	1
560.949	0	1	MC	I	0.868	1	1
563.049	0	1	MC	blank	NaN	NaN	1
569.765	0	1	MC	I	0.648	1	1
575.249	0	1	MC	C	0.538	1	1
578.232	0	1	MC	C	0.567	1	1
583.632	0	1	MC	C	0.549	1	1
586.015	0	1	MC	I	0.723	1	1
590.981	0	1	MC	blank	NaN	NaN	1
592.898	0	1	MC	C	0.575	1	1
596.514	0	1	MC	I	0.566	1	1
603.714	0	1	MC	C	0.574	1	1
606.731	0	1	MC	C	0.461	1	1
608.431	0	1	MC	C	0.59	1	1
613.864	0	1	MC	C	0.553	1	1
616.247	0	1	MC	C	0.507	1	1
620.997	0	1	MC	C	0.534	1	1
623.364	0	1	MC	C	0.728	1	1
626.53	0	1	MC	C	0.57	1	1
628.93	0	1	MC	C	0.504	1	1
631.28	0	1	MC	C	0.644	1	1
634.963	0	1	MC	blank	NaN	NaN	1
638.08	0	1	MC	I	0.615	1	1
641.13	0	1	MC	C	0.548	1	1
642.913	0	1	MC	C	0.623	1	1
645.98	0	1	MC	I	0.667	1	1
652.679	0	1	MC	C	0.552	1	1
657.463	0	1	MC	C	0.531	1	1
661.029	0	1	MC	C	0.583	1	1
664.646	0	1	MC	C	0.56	1	1
670.046	0	1	MC	C	0.575	1	1
671.862	0	1	MC	C	0.607	1	1
678.512	0	1	MC	blank	NaN	NaN	1
737.543	0	1	MC	cue	NaN	NaN	1
748.043	0	1	MC	C	0.798	1	1
752.476	0	1	MC	C	0.482	1	1
754.193	0	1	MC	C	0.518	1	1
755.943	0	1	MC	C	0.527	1	1
758.909	0	1	MC	C	0.455	1	1
763.609	0	1	MC	I	0.66	1	1
767.309	0	1	MC	blank	NaN	NaN	1
769.226	0	1	MC	C	0.524	1	1
772.792	0	1	MC	I	0.564	1	1
778.192	0	1	MC	blank	NaN	NaN	1
781.909	0	1	MC	C	0.532	1	1
783.675	0	1	MC	C	0.592	1	1
789.108	0	1	MC	C	0.535	1	1
792.675	0	1	MC	C	0.565	1	1
795.675	0	1	MC	C	0.746	1	1
799.458	0	1	MC	C	0.535	1	1
806.025	0	1	MC	C	0.652	1	1
809.708	0	1	MC	blank	NaN	NaN	1
811.624	0	1	MC	C	0.579	1	1
815.241	0	1	MC	I	0.626	1	1
817.108	0	1	MC	C	0.682	1	1
820.824	0	1	MC	C	0.562	1	1
824.424	0	1	MC	C	0.595	1	1
828.057	0	1	MC	C	0.571	1	1
832.857	0	1	MC	I	0.745	1	1
835.44	0	1	MC	blank	NaN	NaN	1
837.957	0	1	MC	C	0.475	1	1
840.273	0	1	MC	I	0.726	1	1
844.04	0	1	MC	C	0.649	1	1
846.523	0	1	MC	C	0.524	1	1
848.29	0	1	MC	I	0.69	1	1
850.823	0	1	MC	C	0.758	1	1
858.823	0	1	MC	C	0.518	1	1
861.173	0	1	MC	C	0.548	0	1
