onset	duration	subject	block	trial_type	rt	accuracy	run
27.866	0	1	MI	cue	NaN	NaN	2
38.365	0	1	MI	I	0.886	1	2
42.882	0	1	MI	I	0.705	1	2
44.832	0	1	MI	I	0.628	1	2
48.498	0	1	MI	I	0.533	1	2
51.465	0	1	MI	I	0.716	1	2
55.815	0	1	MI	blank	NaN	NaN	2
59.531	0	1	MI	C	0.866	1	2
64.631	0	1	MI	I	0.635	1	2
68.298	0	1	MI	C	0.52	1	2
71.847	0	1	MI	C	0.682	1	2
75.564	0	1	MI	I	0.659	1	2
79.264	0	1	MI	I	0.544	1	2
83.447	0	1	MI	I	0.528	0	2
86.414	0	1	MI	I	0.597	1	2
90.047	0	1	MI	I	0.58	1	2
93.064	0	1	MI	I	0.657	1	2
98.563	0	1	MI	I	0.716	1	2
102.913	0	1	MI	C	0.614	1	2
105.363	0	1	MI	I	0.864	1	2
108.663	0	1	MI	I	0.733	1	2
111.23	0	1	MI	I	0.711	1	2
114.979	0	1	MI	C	0.84	1	2
118.863	0	1	MI	I	0.646	1	2
122.546	0	1	MI	I	0.747	1	2
125.729	0	1	MI	I	0.678	1	2
131.846	0	1	MI	I	0.713	1	2
134.396	0	1	MI	I	0.805	1	2
140.045	0	1	MI	blank	NaN	NaN	2
142.562	0	1	MI	I	1.195	1	2
146.795	0	1	MI	I	0.511	1	2
149.745	0	1	MI	I	0.664	1	2
153.445	0	1	MI	C	0.559	1	2
158.245	0	1	MI	blank	NaN	NaN	2
161.961	0	1	MI	I	2.256	0	2
166.661	0	1	MI	I	0.821	1	2
172.311	0	1	MI	blank	NaN	NaN	2
177.228	0	1	MI	I	0.582	1	2
179.644	0	1	MI	I	0.78	1	2
183.461	0	1	MI	C	0.848	1	2
187.344	0	1	MI	I	0.569	1	2
190.944	0	1	MI	I	0.63	1	2
194.01	0	1	MI	I	0.496	1	2
195.744	0	1	MI	I	0.675	1	2
198.86	0	1	MI	C	0.842	1	2
200.943	0	1	MI	blank	NaN	NaN	2
204.66	0	1	MI	I	0.637	1	2
207.127	0	1	MI	I	0.661	1	2
209.626	0	1	MI	I	0.573	1	2
212.043	0	1	MI	I	0.737	1	2
215.81	0	1	MI	I	0.571	1	2
223.026	0	1	MI	I	0.652	1	2
227.309	0	1	MI	I	0.815	1	2
231.159	0	1	MI	I	0.562	1	2
232.959	0	1	MI	I	0.723	1	2
236.126	0	1	MI	I	0.652	1	2
238.609	0	1	MI	C	0.631	1	2
242.275	0	1	MI	I	1.209	1	2
248.325	0	1	MI	I	0.693	1	2
250.859	0	1	MI	C	1.164	1	2
255.058	0	1	MI	blank	NaN	NaN	2
258.175	0	1	MI	C	0.644	1	2
260.658	0	1	MI	I	0.75	1	2
263.241	0	1	MI	I	1.715	1	2
266.791	0	1	MI	C	0.612	1	2
271.041	0	1	MI	blank	NaN	NaN	2
273.558	0	1	MI	I	1.006	1	2
277.008	0	1	MI	I	2.487	1	2
283.124	0	1	MI	blank	NaN	NaN	2
342.572	0	1	MI	cue	NaN	NaN	2
353.072	0	1	MI	I	0.771	1	2
357.488	0	1	MI	I	0.613	0	2
360.538	0	1	MI	I	0.766	1	2
368.538	0	1	MI	I	0.584	1	2
370.955	0	1	MI	I	0.535	1	2
375.121	0	1	MI	C	0.648	1	2
378.205	0	1	MI	I	0.62	1	2
381.254	0	1	MI	I	0.554	1	2
386.638	0	1	MI	I	0.659	1	2
389.738	0	1	MI	C	0.452	1	2
394.421	0	1	MI	I	0.503	1	2
397.954	0	1	MI	C	0.643	1	2
401.037	0	1	MI	C	0.551	1	2
404.62	0	1	MI	blank	NaN	NaN	2
410.737	0	1	MI	C	0.555	1	2
413.137	0	1	MI	I	0.66	1	2
421.036	0	1	MI	I	0.673	1	2
422.953	0	1	MI	I	0.589	1	2
425.986	0	1	MI	I	0.672	1	2
427.903	0	1	MI	I	0.68	1	2
430.42	0	1	MI	I	0.656	1	2
433.519	0	1	MI	I	0.634	1	2
437.186	0	1	MI	C	0.585	1	2
443.802	0	1	MI	I	0.672	1	2
449.919	0	1	MI	I	0.78	1	2
452.536	0	1	MI	I	0.592	1	2
454.969	0	1	MI	I	0.662	1	2
457.469	0	1	MI	I	0.974	1	2
459.685	0	1	MI	C	0.676	0	2
461.602	0	1	MI	I	0.678	1	2
464.119	0	1	MI	I	0.609	1	2
468.968	0	1	MI	C	0.559	1	2
472.568	0	1	MI	I	0.539	1	2
474.951	0	1	MI	I	0.778	1	2
478.168	0	1	MI	I	0.577	1	2
481.785	0	1	MI	I	3.824	1	2
490.451	0	1	MI	I	0.64	0	2
492.334	0	1	MI	I	0.697	1	2
496.067	0	1	MI	I	0.737	1	2
502.834	0	1	MI	I	0.88	1	2
505.55	0	1	MI	I	0.545	1	2
507.934	0	1	MI	I	0.568	1	2
509.734	0	1	MI	C	0.557	1	2
512.734	0	1	MI	blank	NaN	NaN	2
520.65	0	1	MI	I	0.867	1	2
524.55	0	1	MI	I	0.611	1	2
527	0	1	MI	I	0.713	1	2
528.95	0	1	MI	blank	NaN	NaN	2
532.666	0	1	MI	I	0.845	1	2
534.75	0	1	MI	C	0.608	1	2
537.199	0	1	MI	I	0.692	1	2
539.733	0	1	MI	I	0.585	1	2
543.349	0	1	MI	I	0.635	1	2
549.416	0	1	MI	C	0.572	1	2
551.232	0	1	MI	blank	NaN	NaN	2
553.749	0	1	MI	I	0.632	1	2
555.616	0	1	MI	blank	NaN	NaN	2
558.132	0	1	MI	I	0.594	1	2
560.566	0	1	MI	blank	NaN	NaN	2
567.282	0	1	MI	I	0.91	1	2
570.032	0	1	MI	C	0.52	1	2
573.582	0	1	MI	blank	NaN	NaN	2
576.698	0	1	MI	I	0.657	1	2
582.198	0	1	MI	I	2.572	1	2
592.014	0	1	MI	I	0.714	1	2
598.764	0	1	MI	blank	NaN	NaN	2
602.481	0	1	MI	I	1.123	1	2
604.847	0	1	MI	I	0.762	1	2
661.346	0	1	MC	cue	NaN	NaN	2
