onset	duration	subject	block	trial_type	rt	accuracy	run
97.73	0	11	MI	cue	NaN	NaN	1
108.23	0	11	MI	I	0.571	1	1
111.247	0	11	MI	I	0.638	1	1
114.93	0	11	MI	I	0.747	1	1
118.113	0	11	MI	I	0.651	1	1
123.613	0	11	MI	I	0.637	1	1
127.296	0	11	MI	I	0.765	1	1
131.713	0	11	MI	I	0.641	1	1
133.596	0	11	MI	C	0.562	1	1
135.396	0	11	MI	blank	NaN	NaN	1
137.313	0	11	MI	I	0.608	1	1
139.163	0	11	MI	I	0.76	1	1
143.563	0	11	MI	I	0.758	1	1
145.579	0	11	MI	I	0.746	1	1
147.579	0	11	MI	I	0.513	0	1
151.129	0	11	MI	I	0.65	1	1
154.212	0	11	MI	I	0.538	1	1
158.395	0	11	MI	blank	NaN	NaN	1
162.112	0	11	MI	I	0.54	1	1
164.495	0	11	MI	I	0.506	1	1
168.045	0	11	MI	I	0.754	1	1
171.228	0	11	MI	C	0.55	1	1
173.628	0	11	MI	I	0.678	1	1
175.545	0	11	MI	C	0.499	1	1
177.895	0	11	MI	I	0.545	1	1
179.678	0	11	MI	I	0.515	1	1
186.245	0	11	MI	C	0.509	1	1
187.411	0	11	MI	blank	NaN	NaN	1
191.128	0	11	MI	I	0.774	1	1
194.344	0	11	MI	C	0.568	1	1
196.161	0	11	MI	I	0.656	1	1
203.461	0	11	MI	C	0.549	1	1
207.061	0	11	MI	blank	NaN	NaN	1
209.577	0	11	MI	I	0.631	1	1
212.061	0	11	MI	I	0.666	1	1
217.56	0	11	MI	I	0.519	1	1
221.11	0	11	MI	I	0.527	1	1
224.693	0	11	MI	I	0.589	1	1
228.927	0	11	MI	blank	NaN	NaN	1
233.243	0	11	MI	I	0.531	1	1
235.027	0	11	MI	I	0.664	1	1
238.726	0	11	MI	I	0.469	1	1
242.243	0	11	MI	I	0.464	1	1
245.743	0	11	MI	C	0.4	1	1
247.376	0	11	MI	I	0.586	1	1
250.41	0	11	MI	I	0.673	1	1
252.926	0	11	MI	I	0.719	1	1
254.893	0	11	MI	blank	NaN	NaN	1
257.409	0	11	MI	I	0.71	1	1
261.159	0	11	MI	I	0.767	1	1
263.176	0	11	MI	I	0.719	1	1
266.926	0	11	MI	I	0.652	0	1
271.209	0	11	MI	I	0.661	1	1
277.325	0	11	MI	I	0.592	1	1
280.359	0	11	MI	blank	NaN	NaN	1
284.075	0	11	MI	C	0.609	1	1
286.525	0	11	MI	I	0.631	1	1
290.208	0	11	MI	I	0.597	1	1
292.058	0	11	MI	I	0.6	1	1
296.891	0	11	MI	I	0.598	1	1
303.541	0	11	MI	I	0.621	1	1
306.608	0	11	MI	I	0.562	1	1
312.024	0	11	MI	C	0.747	1	1
315.224	0	11	MI	C	0.823	1	1
319.091	0	11	MI	blank	NaN	NaN	1
323.407	0	11	MI	I	0.581	1	1
326.424	0	11	MI	I	1.004	1	1
330.474	0	11	MI	C	0.516	1	1
335.224	0	11	MI	C	0.431	1	1
394.672	0	11	MC	cue	NaN	NaN	1
405.172	0	11	MC	C	0.551	1	1
407.572	0	11	MC	C	0.415	1	1
411.038	0	11	MC	C	0.527	1	1
413.405	0	11	MC	C	0.484	1	1
415.122	0	11	MC	C	0.411	1	1
417.988	0	11	MC	C	0.498	1	1
420.921	0	11	MC	C	0.437	0	1
422.604	0	11	MC	blank	NaN	NaN	1
428.721	0	11	MC	C	0.552	1	1
431.121	0	11	MC	C	0.544	1	1
434.704	0	11	MC	I	1.267	1	1
439.021	0	11	MC	C	0.538	1	1
445.604	0	11	MC	blank	NaN	NaN	1
449.32	0	11	MC	C	0.743	1	1
452.504	0	11	MC	C	0.589	1	1
455.554	0	11	MC	C	0.617	1	1
457.42	0	11	MC	C	0.5	1	1
460.37	0	11	MC	C	0.542	1	1
463.953	0	11	MC	C	0.574	1	1
468.187	0	11	MC	C	0.518	1	1
471.753	0	11	MC	C	0.457	1	1
475.853	0	11	MC	C	0.456	1	1
479.353	0	11	MC	C	0.613	1	1
483.003	0	11	MC	blank	NaN	NaN	1
486.719	0	11	MC	C	0.542	1	1
490.303	0	11	MC	C	0.522	1	1
494.469	0	11	MC	I	1.415	1	1
498.936	0	11	MC	C	0.478	1	1
501.269	0	11	MC	C	0.51	1	1
505.419	0	11	MC	C	0.354	1	1
508.819	0	11	MC	C	0.461	1	1
512.319	0	11	MC	C	0.47	1	1
515.235	0	11	MC	C	0.367	1	1
518.652	0	11	MC	I	0.642	0	1
521.735	0	11	MC	C	0.459	0	1
525.235	0	11	MC	I	0.701	1	1
529.585	0	11	MC	C	0.615	1	1
532.035	0	11	MC	C	0.559	1	1
533.851	0	11	MC	I	0.665	1	1
536.968	0	11	MC	blank	NaN	NaN	1
540.684	0	11	MC	C	0.687	1	1
543.818	0	11	MC	I	0.825	1	1
547.084	0	11	MC	C	0.593	1	1
552.534	0	11	MC	C	0.586	1	1
557.367	0	11	MC	I	0.651	1	1
561.05	0	11	MC	C	0.54	1	1
565.25	0	11	MC	C	0.578	1	1
568.267	0	11	MC	C	0.526	1	1
570.034	0	11	MC	I	1.017	1	1
574.7	0	11	MC	C	0.521	1	1
578.867	0	11	MC	C	0.509	1	1
581.833	0	11	MC	blank	NaN	NaN	1
584.95	0	11	MC	C	0.64	1	1
586.833	0	11	MC	I	0.657	0	1
589.933	0	11	MC	blank	NaN	NaN	1
593.65	0	11	MC	I	0.67	1	1
596.15	0	11	MC	blank	NaN	NaN	1
598.066	0	11	MC	I	0.586	1	1
599.899	0	11	MC	C	0.771	1	1
603.716	0	11	MC	C	0.8	1	1
608.166	0	11	MC	C	0.515	1	1
612.916	0	11	MC	C	0.81	1	1
617.966	0	11	MC	C	0.643	1	1
621.065	0	11	MC	C	0.522	1	1
623.449	0	11	MC	C	0.551	1	1
628.849	0	11	MC	C	0.452	1	1
631.149	0	11	MC	I	0.85	1	1
633.249	0	11	MC	blank	NaN	NaN	1
698.98	0	11	MC	cue	NaN	NaN	1
709.48	0	11	MC	C	0.486	1	1
711.213	0	11	MC	C	0.386	1	1
713.446	0	11	MC	C	0.524	1	1
719.413	0	11	MC	C	0.693	1	1
723.163	0	11	MC	C	0.507	1	1
