onset	duration	subject	block	trial_type	rt	accuracy	run
84.747	0	12	MC	cue	NaN	NaN	1
95.246	0	12	MC	C	0.768	1	1
97.263	0	12	MC	C	0.538	1	1
102.646	0	12	MC	C	0.765	1	1
105.246	0	12	MC	C	0.486	1	1
106.979	0	12	MC	C	0.604	1	1
110.029	0	12	MC	C	0.514	1	1
111.796	0	12	MC	C	0.582	1	1
115.412	0	12	MC	C	0.512	1	1
119.562	0	12	MC	blank	NaN	NaN	1
123.279	0	12	MC	I	0.513	1	1
126.245	0	12	MC	C	0.485	1	1
130.379	0	12	MC	C	0.524	1	1
133.345	0	12	MC	C	0.67	1	1
137.662	0	12	MC	C	0.554	1	1
141.261	0	12	MC	C	0.653	1	1
143.761	0	12	MC	I	0.738	1	1
145.745	0	12	MC	blank	NaN	NaN	1
149.461	0	12	MC	C	0.584	1	1
154.894	0	12	MC	C	0.549	1	1
156.694	0	12	MC	I	0.708	1	1
158.644	0	12	MC	C	0.725	1	1
161.211	0	12	MC	I	0.702	1	1
163.161	0	12	MC	C	0.706	1	1
166.911	0	12	MC	I	0.68	1	1
170.644	0	12	MC	blank	NaN	NaN	1
173.76	0	12	MC	C	0.568	1	1
179.777	0	12	MC	C	0.937	1	1
182.56	0	12	MC	C	0.541	1	1
185.543	0	12	MC	C	0.615	1	1
192.21	0	12	MC	C	0.59	1	1
195.86	0	12	MC	I	0.675	1	1
200.776	0	12	MC	C	0.59	1	1
204.409	0	12	MC	C	0.541	1	1
206.209	0	12	MC	C	0.519	1	1
210.959	0	12	MC	C	0.754	1	1
212.959	0	12	MC	C	0.6	1	1
216.592	0	12	MC	C	0.465	1	1
220.692	0	12	MC	C	0.648	1	1
222.592	0	12	MC	C	0.617	1	1
226.858	0	12	MC	C	0.64	1	1
233.541	0	12	MC	C	0.825	1	1
235.608	0	12	MC	blank	NaN	NaN	1
238.724	0	12	MC	C	0.495	1	1
240.458	0	12	MC	C	0.46	1	1
242.158	0	12	MC	C	0.535	1	1
248.741	0	12	MC	I	0.65	1	1
251.841	0	12	MC	blank	NaN	NaN	1
255.557	0	12	MC	C	0.656	1	1
259.257	0	12	MC	C	0.54	1	1
262.24	0	12	MC	I	0.628	1	1
267.707	0	12	MC	C	0.542	1	1
270.09	0	12	MC	C	0.676	1	1
275.623	0	12	MC	C	0.59	0	1
279.856	0	12	MC	C	0.707	1	1
283.623	0	12	MC	I	0.665	1	1
287.922	0	12	MC	C	0.443	1	1
289.622	0	12	MC	I	0.891	1	1
294.156	0	12	MC	C	0.553	1	1
297.755	0	12	MC	C	0.557	1	1
301.355	0	12	MC	C	0.534	1	1
303.122	0	12	MC	blank	NaN	NaN	1
309.838	0	12	MC	I	0.678	1	1
312.372	0	12	MC	C	0.604	1	1
315.422	0	12	MC	blank	NaN	NaN	1
319.738	0	12	MC	C	0.653	1	1
322.221	0	12	MC	I	0.79	1	1
324.871	0	12	MC	blank	NaN	NaN	1
326.788	0	12	MC	C	0.866	1	1
393.985	0	12	MI	cue	NaN	NaN	1
404.485	0	12	MI	I	0.928	1	1
407.268	0	12	MI	I	0.686	1	1
411.001	0	12	MI	I	0.631	1	1
413.484	0	12	MI	I	0.554	1	1
415.884	0	12	MI	I	0.618	1	1
418.951	0	12	MI	I	0.547	1	1
423.751	0	12	MI	I	0.772	1	1
428.167	0	12	MI	I	1.115	1	1
431.734	0	12	MI	I	0.847	1	1
434.434	0	12	MI	I	0.585	1	1
441.067	0	12	MI	I	0.733	1	1
445.433	0	12	MI	I	0.823	1	1
450.5	0	12	MI	blank	NaN	NaN	1
454.216	0	12	MI	I	0.747	1	1
456.799	0	12	MI	I	0.603	1	1
459.833	0	12	MI	I	0.691	1	1
462.366	0	12	MI	I	0.59	1	1
464.799	0	12	MI	C	0.978	1	1
468.832	0	12	MI	blank	NaN	NaN	1
471.949	0	12	MI	I	0.651	1	1
475.049	0	12	MI	I	0.715	1	1
481.798	0	12	MI	C	0.747	1	1
486.182	0	12	MI	I	0.673	1	1
489.898	0	12	MI	C	0.681	1	1
493.615	0	12	MI	I	0.649	1	1
495.498	0	12	MI	I	0.603	1	1
497.348	0	12	MI	I	0.634	0	1
500.431	0	12	MI	blank	NaN	NaN	1
506.547	0	12	MI	I	0.65	1	1
508.431	0	12	MI	C	0.613	1	1
510.897	0	12	MI	C	0.73	1	1
516.464	0	12	MI	C	0.673	1	1
519.58	0	12	MI	blank	NaN	NaN	1
523.897	0	12	MI	C	0.826	1	1
527.163	0	12	MI	I	0.61	1	1
529.63	0	12	MI	I	0.59	1	1
533.28	0	12	MI	I	0.621	1	1
535.746	0	12	MI	I	0.594	1	1
537.596	0	12	MI	blank	NaN	NaN	1
543.713	0	12	MI	I	0.738	1	1
545.679	0	12	MI	I	0.531	1	1
551.063	0	12	MI	C	0.623	1	1
554.146	0	12	MI	I	0.585	1	1
557.179	0	12	MI	I	0.632	0	1
560.862	0	12	MI	C	0.579	1	1
562.695	0	12	MI	blank	NaN	NaN	1
566.412	0	12	MI	I	0.62	1	1
569.479	0	12	MI	I	0.742	1	1
571.478	0	12	MI	I	0.6	1	1
573.912	0	12	MI	I	0.617	1	1
575.778	0	12	MI	I	0.697	1	1
582.511	0	12	MI	I	0.546	1	1
585.511	0	12	MI	I	0.67	1	1
589.828	0	12	MI	I	0.595	1	1
592.861	0	12	MI	I	0.604	1	1
595.911	0	12	MI	blank	NaN	NaN	1
599.027	0	12	MI	I	0.614	1	1
